# Average monthly wholesale prices of commodities in Philadelphia, 1770-1790.
# Source: Anne Bezanson, "Prices and Inflation during the American Revolution:
#   Pennsylvania, 1770-1790" (University of Pennsylvania Press, 1951), Appendix
#   Table 1, pp. 332-342. 25 commodities, most years complete Jan-Dec; some
#   commodities begin partway through the series (blank early months in the
#   source, dropped here rather than interpolated).
#
# Transcription method: this table's print quality made cell-by-cell direct
#   transcription unreliable in early attempts this session (see the project's
#   FINDINGS_TRANSCRIPTION.md in the sibling greenbacks/ collection for the
#   general finding). Instead, this file was built from the PDF's own embedded
#   OCR text layer (extracted via pdftotext -layout), which is high-quality for
#   this clean 1951 university-press typeset book, then:
#   (1) parsed with pattern-matching to reassemble OCR-split decimal points,
#   (2) cross-checked against fresh page images at several points (Beef 1770,
#       Coffee 1786, Wheat 1780, and others matched exactly),
#   (3) manually corrected where automated parsing produced an incorrect value
#       that happened to still look well-formed (misplaced decimal points,
#       row mix-ups) - found via decimal-magnitude sanity checks and
#       isolated-spike detection, then re-verified against the actual page
#       for each correction.
#   Two full rows (Beef 1776, 1777) were replaced with values from direct,
#   careful visual transcription against the source image, cross-checked via
#   the two commodities' different decimal-place printing conventions.
#
# Units: shillings per unit (s-) unless a pound (£-) unit is shown for that
#   row/year - several commodities switch from shillings to pounds partway
#   through the war as prices rose, printed as such in the source and
#   preserved here without rescaling. Check the specific year/commodity
#   against the source page if combining series across a currency-unit
#   change.
#
# NOT YET INCLUDED: approximately 130 further commodity-year rows (of ~525
#   possible combinations) where OCR parsing produced ambiguous results not
#   resolved by pattern-matching, mostly concentrated in 1778-1782 (the years
#   with the most complex print layout, including a mid-1781 currency-unit
#   switch printed within the same table) and in secondary/minor commodities
#   with partial-year coverage. See
#   ../working/bezanson_appendix1_staging/PROGRESS.md for the exact list and
#   status.
#
commodity,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Beef,1770,2.50,2.75,2.58,2.50,2.50,2.75,2.50,2.75,2.50,2.50,2.50,2.50
Beef,1771,2.58,2.62,2.62,2.50,2.54,2.58,2.58,2.50,2.54,2.50,2.50,2.81
Beef,1772,2.62,2.50,2.69,2.75,2.83,3.00,3.50,3.00,3.00,2.75,2.67,2.92
Beef,1773,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.50,2.75
Beef,1774,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.50,2.75,2.75,2.83,3.00
Beef,1775,2.62,2.75,2.70,3.00,2.75,3.12,2.88,2.88,2.88,2.81,2.81,2.81
Beef,1776,2.81,3.25,3.25,3.75,3.75,7.50,5.41,5.52,5.62,4.69,4.69,4.30
Beef,1777,6.96,6.75,6.95,9.50,8.13,9.38,11.2,11.2,11.2,9.00,7.00,6.50
Beef,1779,16.5,50.0,50.3,55.0,75.0,84.4,98.4,125.2,77.3,84.8,220.0,242.5
Beef,1780,178.1,253.1,450.0,450.0,456.7,550.0,675.0,675.0,506.2,506.2,650.0,600.0
Beef,1781,650.0,600.0,550.0,900.0,5.00,4.22,4.23,4.27,3.73,3.33,3.86,3.28
Beef,1782,3.55,3.28,4.22,3.05,3.75,4.23,4.41,3.75,3.52,3.28,3.28,3.75
Beef,1784,4.00,4.00,3.00,3.00,3.38,3.75,4.58,4.00,4.00,4.00,4.50,3.50
Beef,1785,3.50,3.50,3.00,3.00,3.00,3.00,3.00,3.50,3.75,3.75,3.75,3.75
Beef,1786,3.75,3.75,3.75,3.50,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
Beef,1787,4.00,4.00,4.00,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.13,3.00
Beef,1788,2.88,2.88,2.88,2.88,2.63,2.61,2.58,2.58,2.58,2.58,2.58,2.58
Beef,1789,2.58,2.58,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.68,2.45
Beef,1790,2.45,2.45,2.45,2.45,2.45,2.45,2.74,2.74,2.74,2.74,2.53,2.53
"Bread, Ship",1770,13.0,13.0,13.2,13.2,13.3,13.5,13.5,14.5,15.1,15.2,15.6,16.1
"Bread, Ship",1771,15.0,15.0,15.0,15.0,16.0,16.5,16.4,15.7,15.8,15.5,15.9,16.2
"Bread, Ship",1772,16.5,17.0,17.0,17.3,21.0,22.7,22.5,20.8,21.2,21.2,21.4,20.8
"Bread, Ship",1773,20.0,19.0,18.2,18.2,18.0,16.7,17.0,16.5,16.2,16.3,15.7,15.8
"Bread, Ship",1774,15.5,15.0,15.0,15.0,15.0,15.0,14.5,14.5,13.8,14.0,14.0,13.6
"Bread, Ship",1775,13.5,13.0,13.0,13.0,13.0,12.9,13.9,15.0,13.9,13.3,12.8,12.9
"Bread, Ship",1783,18.0,18.0,18.0,19.8,21.6,22.0,20.0,22.0,24.0,23.5,23.5,22.0
"Bread, Ship",1784,20.0,20.0,23.5,18.7,18.5,25.0,24.2,24.0,23.5,23.0,24.0,22.0
"Bread, Ship",1785,22.0,22.0,20.0,22.0,24.0,24.0,23.5,23.5,23.0,22.5,23.2,23.2
"Bread, Ship",1786,21.0,20.0,18.5,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2
"Bread, Ship",1787,19.2,19.2,19.2,19.2,19.2,19.2,19.2,18.0,17.5,17.5,17.0,15.0
"Bread, Ship",1788,16.0,16.5,16.0,15.2,14.5,14.5,14.5,14.0,14.0,13.5,13.5,13.5
"Bread, Ship",1789,13.5,13.5,13.5,13.0,13.0,14.0,16.0,15.5,15.5,15.5,15.5,18.0
"Bread, Ship",1790,18.0,18.0,23.5,25.0,25.0,28.0,27.0,26.0,19.0,17.5,18.0,19.0
Chocolate,1771,16.0,16.0,16.0,15.0,14.8,14.0,15.0,15.0,15.0,15.5,15.3,15.1
Chocolate,1772,0,15.4,14.0,14.3,14.5,14.4,13.7,14.0,14.5,14.7,15.0,14.0
Chocolate,1773,15.0,16.0,15.0,14.5,14.9,16.2,17.0,15.0,17.0,14.8,15.5,16.6
Chocolate,1774,19.0,20.0,16.0,15.0,16.0,17.7,17.8,16.0,17.0,16.0,20.0,20.0
Chocolate,1775,18.5,18.8,17.0,18.5,18.5,18.5,18.5,18.5,18.5,16.8,15.0,16.0
Chocolate,1779,22.2,32.0,32.5,37.5,45.0,45.0,37.5,48.0,60.0,60.0,84.4,90.0
Chocolate,1780,86.2,86.2,90.0,105.0,105.0,93.7,93.7,93.7,97.5,97.5,107.0,120.0
Chocolate,1782,39.0,28.0,30.0,30.0,28.5,27.0,27.0,26.5,26.5,28.0,28.0,28.0
Chocolate,1783,28.0,24.3,24.3,23.0,23.0,23.0,23.0,22.0,21.0,20.0,19.0,19.0
Chocolate,1784,23.0,21.0,22.0,16.0,15.8,18.0,15.0,15.0,15.0,18.0,18.0,20.5
Chocolate,1786,16.5,16.5,16.5,16.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
Chocolate,1787,15.5,15.5,14.5,12.5,12.5,12.5,14.5,12.5,14.5,12.5,14.5,14.5
Chocolate,1788,14.5,14.5,14.5,13.0,13.0,13.0,12.5,12.5,12.5,12.5,12.5,12.0
Chocolate,1789,12.0,12.0,12.0,12.0,15.0,15.0,14.5,14.5,14.0,13.0,13.0,13.0
Chocolate,1790,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.5,14.0
Coffee,1770,15.5,15.0,15.5,14.7,15.7,15.8,16.5,15.5,16.4,16.7,16.2,16.0
Coffee,1771,16.0,16.0,16.0,15.0,14.0,15.9,16.0,15.0,16.0,15.5,15.5,15.6
Coffee,1773,14.0,15.2,13.7,11.5,11.3,11.0,11.5,11.5,11.4,10.3,10.0,10.0
Coffee,1775,5.0,10.1,10.0,9.50,10.5,12.0,12.0,11.0,11.0,11.6,12.0,11.5
Coffee,1776,11.9,11.5,12.3,12.7,14.9,14.0,15.0,15.0,15.0,19.5,24.0,30.0
Coffee,1779,13.0,14.0,13.9,15.0,17.0,17.0,15.0,25.0,42.5,60.0,77.2,97.7
Coffee,1780,97.5,90.0,90.0,88.5,79.5,67.5,74.9,76.9,73.1,75.0,125.9,132.5
Coffee,1782,15.5,13.5,12.6,13.9,15.5,19.7,24.0,18.0,22.0,28.0,32.5,34.5
Coffee,1783,38.0,33.0,33.0,14.5,15.0,15.0,14.5,15.2,14.1,12.9,12.2,12.3
Coffee,1784,13.7,11.8,12.8,11.5,12.0,12.5,13.2,13.5,14.1,15.0,16.8,16.3
Coffee,1785,14.5,14.0,15.5,14.0,14.5,16.5,15.8,14.0,16.0,18.0,17.5,17.5
Coffee,1786,17.5,17.0,16.0,16.5,15.0,16.0,16.0,15.5,15.5,16.0,18.0,19.0
Coffee,1787,19.0,19.0,19.0,14.8,15.0,17.5,15.5,16.0,16.2,16.8,18.5,18.5
Coffee,1788,18.5,16.5,14.5,14.5,14.5,16.0,15.5,16.2,18.5,18.5,19.5,18.5
Coffee,1789,18.0,17.0,17.0,17.0,19.0,20.0,19.0,19.5,20.0,20.0,20.0,18.5
Coffee,1790,17.5,17.5,14.0,16.0,16.0,16.5,15.5,15.5,15.5,16.2,15.5,14.5
Corn,1771,3.00,2.95,3.33,3.42,3.31,3.42,3.69,3.78,4.00,3.67,3.77,3.63
Corn,1772,3.5,3.50,3.56,3.72,3.96,3.98,3.83,3.78,3.63,3.83,3.58,3.40
Corn,1773,3.75,3.92,3.47,3.11,3.04,3.00,3.06,3.06,3.00,2.94,2.67,2.71
