# Three measures of the relation of Continental money to specie, Philadelphia,
#   monthly January 1777 - April 1781.
# Source: Anne Bezanson, "Prices and Inflation during the American Revolution: Pennsylvania,
#   1770-1790" (Philadelphia: University of Pennsylvania Press, 1951), Table 3, p. 65,
#   "The Relation of Continental Money to Specie, December 1775 - April 1781" (ratios columns).
# webster_merchants = the Philadelphia column of the merchants' book series also reproduced
#   in Phillips (1866, 217-218); specie = ratios from observed specie transactions;
#   commodity = ratios derived from commodity prices.
# These three series agree closely and provide independent checks on one another. Bezanson's
#   webster_merchants column matches the transcription in
#   phillips_1866_merchants_books.csv in 51 of 52 overlapping months (the exception is
#   April 1779, summarised differently from a range of quotations).
# Units: Continental dollars per specie dollar. Blank = not reported.
date,webster_merchants,specie,commodity
1777-01,1.25,,1.44
1777-02,1.50,1.50,1.85
1777-03,2.00,2.00,2.06
1777-04,2.00,2.50,2.26
1777-05,2.50,,2.16
1777-06,2.50,3.72,1.80
1777-07,3.00,3.06,2.36
1777-08,3.00,,3.50
1777-09,3.00,3.00,2.50
1777-10,3.00,3.00,3.22
1777-11,3.00,,2.90
1777-12,4.00,,3.78
1778-01,4.00,,3.08
1778-02,5.00,2.71,2.54
1778-03,5.00,,4.50
1778-04,6.00,2.28,4.60
1778-05,5.00,3.53,5.74
1778-06,4.00,4.00,4.72
1778-07,4.00,,4.16
1778-08,5.00,4.17,5.00
1778-09,5.00,,5.00
1778-10,5.00,4.00,5.40
1778-11,6.00,5.72,6.34
1778-12,6.00,6.84,6.47
1779-01,8.00,8.00,7.99
1779-02,10.00,9.91,9.95
1779-03,10.50,9.77,11.50
1779-04,16.10,12.17,16.21
1779-05,23.00,16.46,17.12
1779-06,20.00,17.67,20.07
1779-07,19.00,19.62,25.12
1779-08,20.00,21.72,25.10
1779-09,24.00,22.24,26.82
1779-10,30.00,30.00,28.68
1779-11,38.50,36.00,34.88
1779-12,41.50,42.22,45.60
1780-01,42.50,40.00,43.30
1780-02,50.00,45.25,47.73
1780-03,62.50,61.50,57.51
1780-04,60.00,61.21,57.98
1780-05,60.00,59.67,61.20
1780-06,60.00,56.30,59.10
1780-07,62.50,61.38,66.08
1780-08,70.00,70.00,72.87
1780-09,75.00,72.33,73.08
1780-10,77.50,70.00,76.98
1780-11,90.00,86.87,87.68
1780-12,100.00,99.54,93.74
1781-01,100.00,103.33,98.54
1781-02,110.00,102.50,103.72
1781-03,127.50,125.00,123.02
1781-04,167.50,146.67,139.74
