# Percentage distribution across the states of fiscal, monetary and military quotas,
#   1775-1783: congressional resource and revenue demands.
# Source: Farley Grubb, "The Continental Dollar: How the American Revolution Was Financed
#   with Paper Money" (Chicago: University of Chicago Press, 2023), Table 6.1, p. 61.
#   Reproduced here for convenience; the compilation is Grubb's, from Historical Statistics
#   (1975: 1168), Knox (1790), Ferguson et al. (1973-99, 1:193-94) and JCC (9:955, 15:1150,
#   24:259). Cite Grubb, not this file.
# Georgia has no 1775 or 1781 redemption quota (blank, not zero): Grubb notes the amount was
#   left unstated and that Georgia, having been invaded, may have been excused.
# Original totals: population 2,708,369 (2,204,949 white); 1775 quota $3,000,000; 1777
#   funding $5,000,000; troops 59,840 / 44,892 / 83,520; 1781 redemption quota $195,000,000;
#   1783 funding $1,500,000 annually.
state,pop_1780_pct,pop_1780_pct_white,initial_redemption_quota_pct_1775,funding_pct_nov1777,troop_quota_pct_1777,troop_quota_pct_1778,troop_quota_pct_1779_1780,remaining_redemption_quota_pct_1781,funding_pct_apr1783
New Hampshire,3.16,3.96,4.14,4.00,3.41,3.49,3.75,2.67,3.51
Massachusetts,11.43,14.17,14.47,16.40,17.07,17.44,18.75,15.33,14.96
Rhode Island,1.90,2.28,2.40,2.00,2.27,1.16,2.50,1.33,2.15
Connecticut,7.43,9.11,8.27,12.00,9.09,9.30,10.00,11.33,8.81
New York,9.29,10.75,8.27,4.00,4.55,5.81,6.25,5.00,8.55
New Jersey,5.02,5.86,5.38,5.40,4.55,4.65,3.75,6.00,5.56
Pennsylvania,11.77,14.49,12.41,12.40,13.64,11.62,13.75,15.33,13.68
Delaware,1.63,1.92,1.24,1.20,1.14,1.16,1.25,1.13,1.50
Maryland,8.83,7.48,10.34,10.40,9.09,9.30,10.00,10.53,9.43
Virginia,20.97,16.11,16.54,16.00,17.05,17.44,13.75,16.67,17.10
North Carolina,10.08,8.51,8.27,5.00,10.23,10.47,7.50,6.67,7.27
South Carolina,6.47,3.76,8.27,10.00,6.82,6.98,7.50,8.00,6.41
Georgia,2.02,1.60,,1.20,1.14,1.16,1.25,,1.07
