# Pennsylvania's scale of depreciation: the enacted statute compared with two printed
#   compilations, monthly January 1777 - May 1781.
#
# STATUTE. Act of 3 April 1781, ch. CMXXXV, "An Act directing the mode of adjusting and
#   settling the payment of debts and contracts entered into and made between the first day
#   of January, one thousand seven hundred and seventy-seven, and the first day of March,
#   one thousand seven hundred and eighty-one." Statutes at Large of Pennsylvania (1904),
#   vol. 10, pp. 283-289; the scale is at Section IV, pp. 286-287. Transcribed from the page
#   image (archive.org item statutesatlargeo10penn, PDF p. 293 = printed p. 287).
#
#   THE STATUTORY SCALE ENDS AT FEBRUARY 1781. It has no entry for March, April or May 1781.
#   This is consistent with the act's stated coverage: contracts made before 1 March 1781.
#   The successor act of 21 June 1781 (ch. CMXLV), which repealed legal tender, refers back
#   to this scale but does not extend it.
#
# AMERICAN STATE PAPERS. "Scales of Depreciation for the settlements with individuals",
#   House Doc. No. 107, 20th Cong. 1st sess. (1828), p. 32; reprinted as American State
#   Papers, Class III (Finance), vol. V. Transcribed from the page image.
#
# WEBSTER. Pelatiah Webster, Political Essays (Philadelphia, 1791), p. 501, column headed
#   "Of Pennsylvania, by act of Assembly."
#
# TWO DISCREPANCIES, both verified against the statute's page image:
#   (1) October 1780. The statute reads "October, seventy-three." Webster gives 73; American
#       State Papers and Phillips (1866, 207), which reproduces it, give 72.
#   (2) March-May 1781. The statute has no entries. American State Papers supplies 125, 160
#       and 225; Webster carries the February value of 75 forward. Neither is statutory.
#
# Units: Continental dollars required to purchase one specie dollar.
# Blank in the statute column = no entry in the enacted scale.
date,year,month,statute_1781_act,american_state_papers,webster_1791
1777-01,1777,1,1.50,1.50,1.50
1777-02,1777,2,1.50,1.50,1.50
1777-03,1777,3,2.00,2.00,2.00
1777-04,1777,4,2.50,2.50,2.50
1777-05,1777,5,2.50,2.50,2.50
1777-06,1777,6,2.50,2.50,2.50
1777-07,1777,7,3.00,3.00,3.00
1777-08,1777,8,3.00,3.00,3.00
1777-09,1777,9,3.00,3.00,3.00
1777-10,1777,10,3.00,3.00,3.00
1777-11,1777,11,3.00,3.00,3.00
1777-12,1777,12,4.00,4.00,4.00
1778-01,1778,1,4.00,4.00,4.00
1778-02,1778,2,5.00,5.00,5.00
1778-03,1778,3,5.00,5.00,5.00
1778-04,1778,4,6.00,6.00,6.00
1778-05,1778,5,5.00,5.00,5.00
1778-06,1778,6,4.00,4.00,4.00
1778-07,1778,7,4.00,4.00,4.00
1778-08,1778,8,5.00,5.00,5.00
1778-09,1778,9,5.00,5.00,5.00
1778-10,1778,10,5.00,5.00,5.00
1778-11,1778,11,6.00,6.00,6.00
1778-12,1778,12,6.00,6.00,6.00
1779-01,1779,1,8.00,8.00,8.00
1779-02,1779,2,10.00,10.00,10.00
1779-03,1779,3,10.50,10.50,10.50
1779-04,1779,4,17.00,17.00,17.00
1779-05,1779,5,24.00,24.00,24.00
1779-06,1779,6,20.00,20.00,20.00
1779-07,1779,7,19.00,19.00,19.00
1779-08,1779,8,20.00,20.00,20.00
1779-09,1779,9,24.00,24.00,24.00
1779-10,1779,10,30.00,30.00,30.00
1779-11,1779,11,38.50,38.50,38.50
1779-12,1779,12,41.50,41.50,41.50
1780-01,1780,1,40.50,40.50,40.50
1780-02,1780,2,47.50,47.50,47.50
1780-03,1780,3,61.50,61.50,61.50
1780-04,1780,4,61.50,61.50,61.50
1780-05,1780,5,59.00,59.00,59.00
1780-06,1780,6,61.50,61.50,61.50
1780-07,1780,7,64.50,64.50,64.50
1780-08,1780,8,70.00,70.00,70.00
1780-09,1780,9,72.00,72.00,72.00
1780-10,1780,10,73.00,72.00,73.00
1780-11,1780,11,74.00,74.00,74.00
1780-12,1780,12,75.00,75.00,75.00
1781-01,1781,1,75.00,75.00,75.00
1781-02,1781,2,75.00,75.00,75.00
1781-03,1781,3,,125.00,75.00
1781-04,1781,4,,160.00,75.00
1781-05,1781,5,,225.00,75.00
