# Statement of the Issues of Continental Money, by resolve of Congress authorizing each
#   emission, 22 June 1775 - 29 November 1779.
# Source: "Amount of Continental Money issued during the Revolution and Depreciation of the
#   same." 20th Congress, 1st session, House Doc. No. 839. Communicated to the House of
#   Representatives 30 January 1828. Signed Joseph Nourse, Register, Treasury Department
#   Register's Office, 22 January 1828. Reproduced in Henry Phillips, Jr., "Continental
#   Paper Money" (1866), Appendix, p. 198.
# Transcribed from the page image (archive.org item continentalpaper00phil), not OCR.
#
# NOTE ON DOCUMENT NUMBER: this repo's state_depreciation_scales.csv cites the same
#   underlying 1828 communication as "House Doc. No. 107". Phillips's reprint of the
#   document's own letterhead reads "[No. 839.]". Both numbers may be correct under
#   different numbering conventions (e.g. Serial Set vs. session House Document number);
#   this has not been independently resolved. Flagging rather than silently picking one.
#
# NOTE ON THE TOTAL: summing the 40 rows below gives $241,552,380. The document's own
#   printed total is $241,552,780 - a discrepancy of exactly $400. This is preserved as
#   printed rather than adjusted; the source of the $400 gap (a single mistranscribed
#   digit here, or an error in the original 1828 document) has not been identified.
#
# date = first resolve date, ISO format, for sorting. resolve_dates_as_printed preserves
#   the original text where a row cites joint/multiple resolve dates.
# journal_vol/journal_page cite the Journals of Congress where each resolve appears, as
#   printed in the original document - useful for anyone wanting to verify a row against
#   the Journals directly. Some rows cite two resolves/pages jointly, as printed.
#
# Units: dollars authorized to be issued (face value, not adjusted for depreciation).
date,resolve_dates_as_printed,journal_vol,journal_page,amount_authorized
1775-06-22,"June 22, 1775",1,125,2000000
1775-07-25,"July 25, 1775",1,177,1000000
1775-11-29,"November 29, 1775",1,273,3000000
1776-02-17,"February 17, 1776",2,66,4000000
1776-05-09,"May 9 and 27, 1776",2,164,5000000
1776-07-22,"July 22 and August 13, 1776",2,"280, 308",5000000
1776-11-02,"November 2 and December 28, 1776",2,"440, 509",5000000
1777-02-26,"February 26, 1777",3,80,5000000
1777-05-20,"May 20, 1777",3,194,5000000
1777-08-15,"August 15, 1777",3,331,1000000
1777-11-07,"November 7, 1777",3,480,1000000
1777-12-03,"December 3, 1777",3,555,1000000
1778-01-08,"January 8, 1778",4,12,1000000
1778-01-22,"January 22, 1778",4,47,2000000
1778-02-16,"February 16, 1778",4,101,2000000
1778-03-05,"March 5, 1778",4,133,2000000
1778-04-04,"April 4, 1778",4,190,1000000
1778-04-11,"April 11, 1778",4,209,5000000
1778-04-18,"April 18, 1778",4,223,500000
1778-05-22,"May 22, 1778",4,303,5000000
1778-06-20,"June 20, 1778",4,362,5000000
1778-07-30,"July 30, 1778",4,434,5000000
1778-09-05,"September 5, 1778",4,521,5000000
1778-09-26,"September 26, 1778",4,567,10000000
1778-11-04,"November 4, 1778",4,639,10000100
1778-12-14,"December 14, 1778",4,713,10000000
1779-02-03,"February 3, 1779",5,43,5000160
1779-02-19,"February 19, 1779",5,64,5000160
1779-04-01,"April 1, 1779",5,132,5000160
1779-05-05,"May 5, 1779",5,183,10000100
1779-01-04,"January 4 and May 7, 1779",5,"84, 188",50000100
1779-06-04,"June 4, 1779",5,240,10000100
1779-07-17,"July 17, 1779",5,288,5000180
1779-07-17,"July 17, 1779",5,289,10000100
1779-09-17,"September 17, 1779",5,360,5000180
1779-09-17,"September 17, 1779",5,360,10000180
1779-10-14,"October 14, 1779",5,384,5000180
1779-11-17,"November 17, 1779",5,419,5000040
1779-11-17,"November 17, 1779",5,420,5050500
1779-11-29,"November 29, 1779",5,438,10000140
