# Scales of depreciation for the settlement of private debts, seven states, 1777-1781.
#
# PRIMARY SOURCE for Massachusetts, New Jersey, Delaware, Maryland, Virginia and North
#   Carolina: "Scales of Depreciation for the settlements with individuals", House Doc. No.
#   107, 20th Cong. 1st sess. (Washington: Gales & Seaton, 1828), pp. 30-33 — the printing
#   reissued as American State Papers, Class III (Finance), vol. V. Transcribed from page
#   images, not OCR.
#
# PENNSYLVANIA is taken from the ENACTED STATUTE, not from a compilation: Act of 3 April
#   1781, ch. CMXXXV, sec. IV, Statutes at Large of Pennsylvania (1904), vol. 10, pp. 286-87.
#   The statutory scale runs to FEBRUARY 1781 and stops; the act covers contracts made before
#   1 March 1781. Entries are therefore blank from March 1781. The printed compilations differ
#   from the statute in two places and from each other — see
#   pennsylvania_scale_three_sources.csv, which sets all three side by side.
#
# Connecticut, New York and South Carolina are in the same 1828 source but are not yet
#   transcribed here. They are stated as percentages (Continental per 100 specie) and, for
#   South Carolina, in a pounds-and-shillings notation that needs care.
#
# Units: Continental dollars required to purchase one specie dollar. Higher values denote
#   greater depreciation. Blank = no entry for that month in the source.
#
# Note on Massachusetts: stated as "per cent." monthly through April 1780 and date-specific
#   thereafter. Values here are divided by 100 to the common unit; from May 1780 each month
#   takes the dated observation nearest mid-month, and months with no dated observation are
#   left blank rather than interpolated.
date,year,month,massachusetts,pennsylvania_statute,new_jersey,delaware,maryland,virginia,north_carolina
1777-01,1777,1,1.05,1.50,,1.50,1.50,1.50,
1777-02,1777,2,1.07,1.50,,1.50,1.50,1.50,
1777-03,1777,3,1.09,2.00,,2.00,2.00,2.00,1.25
1777-04,1777,4,1.12,2.50,,2.50,2.50,2.50,1.50
1777-05,1777,5,1.15,2.50,,2.50,2.50,2.50,1.50
1777-06,1777,6,1.20,2.50,,2.50,2.50,2.50,1.75
1777-07,1777,7,1.25,3.00,,3.00,3.00,3.00,2.00
1777-08,1777,8,1.50,3.00,,3.00,3.00,3.00,2.12
1777-09,1777,9,1.75,3.00,,3.00,3.00,3.00,2.25
1777-10,1777,10,2.75,3.00,,3.00,3.00,3.00,2.50
1777-11,1777,11,3.00,3.00,,3.00,3.00,3.00,2.50
1777-12,1777,12,3.10,4.00,,4.00,4.00,4.00,3.00
1778-01,1778,1,3.25,4.00,4.00,4.00,4.00,4.00,3.50
1778-02,1778,2,3.50,5.00,4.00,5.00,5.00,5.00,3.50
1778-03,1778,3,3.75,5.00,4.00,5.00,5.00,5.00,3.75
1778-04,1778,4,4.00,6.00,5.00,6.00,6.00,5.00,4.00
1778-05,1778,5,4.00,5.00,5.00,5.00,5.00,5.00,4.00
1778-06,1778,6,4.00,4.00,5.00,4.00,4.00,5.00,4.00
1778-07,1778,7,4.25,4.00,5.00,4.00,4.00,5.00,4.00
