year,commodity,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1770,Beef,2.50,2.75,2.58,2.50,2.50,2.75,2.50,2.75,2.50,2.50,2.50,2.50
1771,Beef,2.58,2.62,2.62,2.50,2.54,2.58,2.58,2.50,2.54,2.51,2.50,2.81
1772,Beef,2.62,2.50,2.69,2.75,2.83,3.00,3.50,3.00,3.00,2.75,2.67,2.92
1773,Beef,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.50,2.75
1774,Beef,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.50,2.75,2.75,2.83,3.00
1775,Beef,2.62,2.75,2.70,3.00,2.75,3.12,2.88,2.88,2.88,2.81,2.81,2.81
1776,Beef,2.81,2.81,3.25,3.75,3.75,7.50,5.41,5.52,5.62,4.69,4.69,6.64
1777,Beef,6.96,6.75,6.95,9.50,8.13,9.38,11.2,11.2,11.2,9.00,9.00,9.38
1779,Beef,16.5,50.0,50.3,55.0,75.0,84.4,98.4,125.2,77.3,84.8,220.0,242.5
1780,Beef,178.1,253.1,450.0,450.0,456.7,550.0,675.0,675.0,506.2,506.2,650.0,600.0
1781,Beef,650.0,600.0,550.0,900.0,5.00,4.22,4.23,4.27,3.73,3.33,3.86,3.28
1782,Beef,3.55,3.28,4.22,3.05,3.75,4.23,4.41,3.75,3.52,3.28,3.28,3.75
1784,Beef,4.00,4.00,3.00,3.00,3.38,3.75,4.58,4.00,4.00,4.00,4.50,3.50
1785,Beef,3.50,3.50,3.00,3.00,3.00,3.00,3.00,3.50,3.75,3.75,3.75,3.75
1786,Beef,3.75,3.75,3.75,3.50,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
1787,Beef,4.00,4.00,4.00,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.13,3.00
1788,Beef,2.88,2.88,2.88,2.88,2.63,2.61,2.58,2.58,2.58,2.58,2.58,2.58
1789,Beef,2.58,2.58,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.68,2.45
1790,Beef,2.45,2.45,2.45,2.45,2.45,2.45,2.74,2.74,2.74,2.74,2.53,2.53
1770,"Bread, Ship",13.0,13.0,13.2,13.2,13.3,13.5,13.5,14.5,15.1,15.2,15.6,16.1
1771,"Bread, Ship",15.0,15.0,15.0,15.0,16.0,16.5,16.4,15.7,15.8,15.5,15.9,16.2
1772,"Bread, Ship",16.5,17.0,17.0,17.3,21.0,22.7,22.5,20.8,21.2,21.2,21.4,20.8
1773,"Bread, Ship",20.0,19.0,18.2,18.2,18.0,16.7,17.0,16.5,16.2,16.3,15.7,15.8
1774,"Bread, Ship",15.5,15.0,15.0,15.0,15.0,15.0,14.5,14.5,13.8,14.0,14.0,13.6
1775,"Bread, Ship",13.5,13.0,13.0,13.0,13.0,12.9,13.9,15.0,13.9,13.3,12.8,12.9
1783,"Bread, Ship",18.0,18.0,18.0,19.8,21.6,22.0,20.0,22.0,24.0,23.5,23.5,22.0
1784,"Bread, Ship",20.0,20.0,23.5,18.7,18.5,25.0,24.2,24.0,23.5,23.0,24.0,22.0
1785,"Bread, Ship",22.0,22.0,20.0,22.0,24.0,24.0,23.5,23.5,23.0,22.5,23.2,23.2
1786,"Bread, Ship",21.0,20.0,18.5,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2
1787,"Bread, Ship",19.2,19.2,19.2,19.2,19.2,19.2,19.2,18.0,17.5,17.5,17.0,15.0
