date,year,month,grp1_ne_lo,grp1_ne_hi,grp2_mid_lo,grp2_mid_hi,grp3_car_lo,grp3_car_hi,congress_pct_of_specie,congress_rate,phila_merchant_lo,phila_merchant_hi,jefferson,highest_rate
1777-01,1777,1,1.05,1.05,1.20,1.50,,,,,1.25,1.25,,1.50
1777-04,1777,4,1.12,1.12,2.50,3.10,1.08,1.50,,,2.00,2.00,,3.10
1777-07,1777,7,1.25,1.25,2.25,3.00,1.39,2.00,,,3.00,3.00,,3.00
1777-10,1777,10,1.09,2.75,3.00,3.00,1.86,2.50,91,1.0989,3.00,3.00,,3.00
1778-01,1778,1,1.46,3.25,4.00,4.00,2.21,3.50,68,1.4706,4.00,4.00,4.00,4.00
1778-04,1778,4,2.03,4.00,5.00,6.00,3.17,4.00,49,2.0408,6.00,6.00,6.00,6.00
1778-07,1778,7,3.03,4.25,4.00,5.00,3.54,4.00,33,3.0303,4.00,4.00,4.50,5.00
1778-10,1778,10,4.00,5.00,5.00,5.00,4.05,4.75,21,4.7619,5.00,5.00,,5.00
1779-01,1779,1,7.42,7.96,8.00,8.00,6.00,7.61,13,7.6923,7.00,9.00,8.00,8.00
1779-04,1779,4,11.04,11.56,16.00,17.00,9.66,10.00,9,11.1111,12.00,22.00,17.00,17.00
1779-07,1779,7,14.77,15.48,19.00,21.00,14.57,15.00,6,16.6667,18.00,20.00,20.00,20.00
1779-10,1779,10,20.30,21.51,28.00,30.00,20.40,25.00,4,25.0000,30.00,30.00,30.00,30.00
1779-11,1779,11,23.08,24.33,36.00,38.50,25.96,27.00,4,25.0000,32.00,45.00,38.50,38.50
1779-12,1779,12,25.93,27.41,40.00,41.50,30.00,32.33,3.7,27.0270,38.00,45.00,,41.00
1780-01,1780,1,29.34,31.15,40.00,42.00,32.00,37.75,3.3,30.3030,40.00,45.00,,42.00
1780-03,1780,3,37.36,40.00,60.00,61.50,40.00,46.59,2.6,38.4615,60.00,65.00,,61.50
