# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 4: "Relative Prices of Various Commodities at Retail"
# Pages 451-468. Relative prices (index, base=100).
# Initial prices are in the units specified in the original table (per yard, per lb, per gallon, etc.)
category,item,state,town,initial_price,1860,1861,1862,1863,1864,1865,1866
Dry Goods,Cotton Flannel (medium quality),Mass.,Woburn,0.13,100,131,231,290,385,385,346
Dry Goods,Cotton Flannel (medium quality),Conn.,Jewett City,0.15,100,100,113,250,333,387,233
Dry Goods,Cotton Flannel (medium quality),Pa.,New Castle,0.125,100,103,200,300,440,400,210
Dry Goods,Cotton Flannel (medium quality),W. Va.,New Cumberland,0.14,100,179,286,357,429,429,357
Dry Goods,Cotton Flannel (medium quality),W. Va.,Wheeling,0.125,100,100,120,300,600,480,300
Dry Goods,Cotton Flannel (medium quality),Ohio,Canton,0.125,100,96,300,400,600,520,400
Dry Goods,Cotton Flannel (medium quality),Ohio,Cincinnati,0.25,100,100,120,190,300,300,300
Dry Goods,Cotton Flannel (medium quality),Ohio,Zanesville,0.10,100,100,150,220,350,400,300
Dry Goods,Cotton Flannel (medium quality),Ind.,Jeffersonville,0.085,100,100,200,300,300,720,600
Dry Goods,Cotton Flannel (medium quality),Ind.,Lawrenceburg,0.125,100,100,100,300,300,720,600
Dry Goods,Cotton Flannel (medium quality),Ind.,New Albany,0.19,100,105,125,200,460,500,320
Dry Goods,Cotton Flannel (medium quality),Ill.,Bloomington,0.125,100,120,130,200,300,300,320
Dry Goods,Mousselines de Laine,Mass.,Woburn,0.33,100,100,91,91,100,115,106
Dry Goods,Mousselines de Laine,Conn.,Jewett City,0.25,100,88,100,150,250,298,268
Dry Goods,Mousselines de Laine,Pa.,New Castle,0.25,100,100,120,160,180,100,140
Dry Goods,Mousselines de Laine,W. Va.,New Cumberland,0.15,100,100,200,267,400,467,267
Dry Goods,Mousselines de Laine,W. Va.,Wheeling,0.35,100,121,150,100,240,200,150
Dry Goods,Mousselines de Laine,Ohio,Canton,0.25,100,100,100,150,200,100,150
Dry Goods,Mousselines de Laine,Ohio,Cincinnati,0.25,100,100,100,100,200,200,200
Dry Goods,Mousselines de Laine,Ohio,Zanesville,0.15,100,100,233,267,300,467,233
Dry Goods,Mousselines de Laine,Ind.,Evansville,0.20,100,125,175,250,250,175,175
Dry Goods,Mousselines de Laine,Ind.,Jeffersonville,0.20,100,100,175,175,175,175,175
Dry Goods,Mousselines de Laine,Ind.,Lawrenceburg,0.25,100,100,140,100,200,180,100
Dry Goods,Mousselines de Laine,Ind.,New Albany,0.18,100,111,167,167,167,167,138
Dry Goods,Mousselines de Laine,Ill.,Bloomington,0.25,100,100,100,140,140,100,120
Dry Goods,Prints (Merrimack),Mass.,Woburn,0.13,100,115,154,154,154,246,192
Dry Goods,Prints (Merrimack),Conn.,Jewett City,0.125,100,100,112,175,200,380,264
Dry Goods,Prints (Merrimack),Pa.,New Castle,0.125,100,100,144,200,300,200,200
Dry Goods,Prints (Merrimack),W. Va.,New Cumberland,0.09,100,222,278,444,556,556,356
Dry Goods,Prints (Merrimack),W. Va.,Wheeling,0.125,100,120,200,240,400,520,240
Dry Goods,Prints (Merrimack),Ohio,Canton,0.125,100,80,144,440,400,400,300
Dry Goods,Prints (Merrimack),Ohio,Cincinnati,0.125,100,80,80,100,120,300,300
Dry Goods,Prints (Merrimack),Ohio,Zanesville,0.125,100,80,96,120,175,230,300
Dry Goods,Prints (Merrimack),Ind.,Evansville,0.10,100,100,150,250,500,450,300
Dry Goods,Prints (Merrimack),Ind.,Jeffersonville,0.125,100,100,100,100,100,120,200
Dry Goods,Prints (Merrimack),Ind.,Lawrenceburg,0.125,100,100,105,200,300,450,200
Dry Goods,Prints (Merrimack),Ind.,New Albany,0.17,100,100,118,206,294,441,294
Dry Goods,Prints (Merrimack),Ill.,Bloomington,0.125,100,100,100,200,240,380,320
Dry Goods,Satinets (medium quality),Conn.,Jewett City,0.75,100,100,133,160,177,173,175
Dry Goods,Satinets (medium quality),Pa.,New Castle,1.00,100,100,125,138,150,140,154
Dry Goods,Satinets (medium quality),W. Va.,New Cumberland,0.11,100,227,264,435,545,545,273
Dry Goods,Satinets (medium quality),W. Va.,Wheeling,0.75,100,100,133,167,167,200,167
Dry Goods,Satinets (medium quality),Ohio,Canton,0.75,100,100,133,167,167,200,167
Dry Goods,Satinets (medium quality),Ohio,Cincinnati,0.75,100,100,100,107,113,120,133
Dry Goods,Satinets (medium quality),Ohio,Zanesville,0.40,100,100,100,130,250,213,150
Dry Goods,Satinets (medium quality),Ind.,Jeffersonville,0.75,100,100,133,133,133,133,133
Dry Goods,Satinets (medium quality),Ind.,Lawrenceburg,0.70,100,100,179,179,214,143,143
Dry Goods,Satinets (medium quality),Ind.,New Albany,0.625,100,100,120,132,172,144,144
Dry Goods,Satinets (medium quality),Ill.,Bloomington,0.75,100,100,87,100,133,133,133
Dry Goods,"Sheetings: bleached, 9x8, standard quality",Mass.,Woburn,0.14,100,114,321,357,250,286,271
Dry Goods,"Sheetings: bleached, 9x8, standard quality",Pa.,New Castle,0.17,100,118,165,294,353,353,324
Dry Goods,"Sheetings: bleached, 9x8, standard quality",W. Va.,New Cumberland,0.10,100,200,250,450,500,400,500
Dry Goods,"Sheetings: bleached, 9x8, standard quality",W. Va.,Wheeling,0.15,100,107,253,433,400,400,300
Dry Goods,"Sheetings: bleached, 9x8, standard quality",Ohio,Canton,0.15,100,100,250,367,533,167,367
Dry Goods,"Sheetings: bleached, 9x8, standard quality",Ohio,Cincinnati,0.25,100,110,130,150,160,160,169
Dry Goods,"Sheetings: bleached, 9x8, standard quality",Ohio,Zanesville,0.13,100,138,169,231,577,346,269
Dry Goods,"Sheetings: bleached, 9x8, standard quality",Ind.,Lawrenceburg,0.20,100,107,217,317,333,283,380
Dry Goods,"Sheetings: bleached, 9x8, standard quality",Ind.,New Albany,0.085,100,111,212,440,570,174,121
Dry Goods,"Sheetings: bleached, 9x8, standard quality",Ill.,Bloomington,0.15,100,133,200,300,400,433,300
Dry Goods,"Sheetings: brown, 9x8, standard quality",Mass.,Woburn,0.13,100,115,308,346,308,346,346
Dry Goods,"Sheetings: brown, 9x8, standard quality",Pa.,New Castle,0.125,100,120,200,380,440,100,240
Dry Goods,"Sheetings: brown, 9x8, standard quality",W. Va.,New Cumberland,0.08,100,225,375,500,625,625,500
Dry Goods,"Sheetings: brown, 9x8, standard quality",W. Va.,Wheeling,0.125,100,120,240,300,600,400,320
Dry Goods,"Sheetings: brown, 9x8, standard quality",Ohio,Canton,0.125,100,96,260,400,600,600,300
Dry Goods,"Sheetings: brown, 9x8, standard quality",Ohio,Zanesville,0.13,100,128,169,231,562,308,269
Dry Goods,"Sheetings: brown, 9x8, standard quality",Ind.,Jeffersonville,0.15,100,167,167,167,167,167,167
Dry Goods,"Sheetings: brown, 9x8, standard quality",Ind.,Lawrenceburg,0.28,100,107,214,321,357,404,321
Dry Goods,"Sheetings: brown, 9x8, standard quality",Ind.,New Albany,0.0775,100,135,278,684,877,684,555
Dry Goods,"Sheetings: brown, 9x8, standard quality",Ill.,Bloomington,0.15,100,133,233,333,433,500,353
Dry Goods,"Sheetings: bleached, 4x4, standard quality",Mass.,Woburn,0.125,100,104,220,380,250,240,240
Dry Goods,"Sheetings: bleached, 4x4, standard quality",Conn.,Jewett City,0.16,100,81,100,234,375,419,344
Dry Goods,"Sheetings: bleached, 4x4, standard quality",Pa.,New Castle,0.15,100,120,167,300,373,367,333
Dry Goods,"Sheetings: bleached, 4x4, standard quality",W. Va.,New Cumberland,0.08,100,100,225,375,500,625,500
Dry Goods,"Sheetings: bleached, 4x4, standard quality",W. Va.,Wheeling,0.10,100,150,300,400,930,480,300
Dry Goods,"Sheetings: bleached, 4x4, standard quality",Ohio,Canton,0.125,100,120,240,400,400,480,300
Dry Goods,"Sheetings: bleached, 4x4, standard quality",Ohio,Cincinnati,0.15,100,83,80,133,257,373,300
Dry Goods,"Sheetings: bleached, 4x4, standard quality",Ohio,Zanesville,0.10,100,150,200,300,600,550,300
Dry Goods,"Sheetings: bleached, 4x4, standard quality",Ind.,Jeffersonville,0.10,100,100,125,250,600,600,400
Dry Goods,"Sheetings: bleached, 4x4, standard quality",Ind.,Lawrenceburg,0.125,100,120,176,360,600,300,320
Dry Goods,"Sheetings: bleached, 4x4, standard quality",Ind.,New Albany,0.085,100,112,235,412,588,471,412
Dry Goods,"Sheetings: bleached, 4x4, standard quality",Ill.,Bloomington,0.125,100,107,120,200,320,480,320
Dry Goods,"Sheetings: brown, 4x4, standard quality",Mass.,Woburn,0.11,100,100,318,409,227,227,227
Dry Goods,"Sheetings: brown, 4x4, standard quality",Conn.,Jewett City,0.125,100,88,112,280,400,440,300
Dry Goods,"Sheetings: brown, 4x4, standard quality",Pa.,New Castle,0.10,100,100,220,200,500,650,350
Dry Goods,"Sheetings: brown, 4x4, standard quality",W. Va.,New Cumberland,0.06,100,250,417,500,667,667,500
Dry Goods,"Sheetings: brown, 4x4, standard quality",W. Va.,Wheeling,0.10,100,125,220,400,750,500,400
Dry Goods,"Sheetings: brown, 4x4, standard quality",Ohio,Canton,0.09,100,111,222,500,556,556,444
Dry Goods,"Sheetings: brown, 4x4, standard quality",Ohio,Cincinnati,0.10,100,150,500,600,750,750,650
Dry Goods,"Sheetings: brown, 4x4, standard quality",Ohio,Zanesville,0.10,100,150,200,350,700,350,300
Dry Goods,"Sheetings: brown, 4x4, standard quality",Ind.,Evansville,0.085,100,150,118,588,882,824,588
Dry Goods,"Sheetings: brown, 4x4, standard quality",Ind.,Jeffersonville,0.10,100,150,200,300,900,500,500
Dry Goods,"Sheetings: brown, 4x4, standard quality",Ind.,Lawrenceburg,0.10,100,150,200,350,700,350,300
Dry Goods,"Sheetings: brown, 4x4, standard quality",Ind.,New Albany,0.0675,100,111,222,741,963,741,503
Dry Goods,"Sheetings: brown, 4x4, standard quality",Ill.,Bloomington,0.125,100,120,240,300,480,560,360
Dry Goods,"Tickings: good quality",Mass.,Woburn,0.17,100,118,250,250,250,365,225
Dry Goods,"Tickings: good quality",Conn.,Jewett City,0.22,100,100,114,100,250,305,273
Dry Goods,"Tickings: good quality",Pa.,New Castle,0.25,100,120,150,220,300,272,200
Dry Goods,"Tickings: good quality",W. Va.,New Cumberland,0.28,100,143,178,250,400,268,143
Dry Goods,"Tickings: good quality",W. Va.,Wheeling,0.25,100,100,100,200,400,400,300
