# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix C, Table 1 (Part 1): "Wage-Series from Table XII of the Aldrich Report"
# Pages 470-495. Relative wages (index, base=100).
# Source: historyofgreenba00mitcrich.pdf, pages 470-495
industry,location_number,state,occupation,sex,initial_wage_per_day,date,num_workers,relative_wage
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1860-01,1,100
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1860-07,1,100
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1861-01,1,100
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1861-07,1,99
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1862-01,2,88
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1862-07,1,98
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1863-01,1,108
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1863-07,1,112
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1864-01,1,122
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1864-07,1,152
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1865-01,1,153
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1865-07,1,175
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1866-01,1,175
Agricultural Implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1866-07,1,183
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1860-01,2,100
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1860-07,2,100
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1861-01,2,100
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1861-07,2,100
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1862-01,2,100
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1862-07,1,100
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1863-01,1,99
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1863-07,5,112
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1864-01,2,117
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1864-07,3,142
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1865-01,3,150
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1865-07,7,161
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1866-01,5,163
Agricultural Implements,1,Massachusetts,Laborers,M,1.00,1866-07,5,169
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1860-01,1,100
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1860-07,1,100
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1861-01,1,108
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1861-07,1,108
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1862-01,1,100
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1862-07,1,84
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1863-01,2,113
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1863-07,2,101
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1864-01,2,108
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1864-07,2,123
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1865-01,2,125
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1865-07,2,138
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1866-01,3,131
Agricultural Implements,1,Massachusetts,Machinists,M,1.665,1866-07,5,134
Agricultural Implements,1,Massachusetts,Painters,M,1.25,1860-01,1,100
Agricultural Implements,1,Massachusetts,Painters,M,1.25,1860-07,1,100
Agricultural Implements,1,Massachusetts,Painters,M,1.25,1861-01,1,100
Agricultural Implements,1,Massachusetts,Painters,M,1.25,1861-07,1,100
Agricultural Implements,1,Massachusetts,Painters,M,1.25,1862-01,1,100
Agricultural Implements,1,Massachusetts,Painters,M,1.25,1864-01,3,80
Agricultural Implements,1,Massachusetts,Painters,M,1.25,1865-01,3,106
Agricultural Implements,1,Massachusetts,Painters,M,1.25,1865-07,3,113
Agricultural Implements,1,Massachusetts,Painters,M,1.25,1866-01,3,124
Agricultural Implements,1,Massachusetts,Painters,M,1.25,1866-07,1,120
Agricultural Implements,1,Massachusetts,Woodwork's,M,1.333,1860-01,3,100
Agricultural Implements,1,Massachusetts,Woodwork's,M,1.333,1860-07,2,103
Agricultural Implements,1,Massachusetts,Woodwork's,M,1.333,1861-01,2,103
Agricultural Implements,1,Massachusetts,Woodwork's,M,1.333,1861-07,2,94
