# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix A, Table 1: "Monthly highest, average, and lowest gold prices of $100 of paper money in the New York market"
# Pages 423-424. Values in gold dollars per $100 paper currency.
year,month,date_of_highest_price,highest,average,lowest,date_of_lowest_price
1862,January,"1",99.50,97.60,95.24,"10"
1862,February,"27, 28",97.92,96.60,95.47,"15"
1862,March,"25",98.77,98.20,97.56,"1"
1862,April,"8, 18, 19, 24, 25, 26",98.52,98.50,97.68,"2"
1862,May,"1",97.92,96.80,96.04,"27"
1862,June,"11",96.74,93.90,91.32,"27"
1862,July,"1",91.95,86.60,83.25,"22"
1862,August,"9, 11",88.89,87.30,86.02,"29"
1862,September,"1, 2, 16, 17, 18",85.84,84.40,80.65,"30"
1862,October,"1",81.97,77.80,74.91,"22"
1862,November,"29",77.52,76.30,75.05,"10"
1862,December,"1",77.82,75.60,74.63,"4"
1863,January,"2",74.84,68.90,62.21,"31"
1863,February,"10, 11",65.57,62.30,57.97,"26, 28"
1863,March,"26",71.94,64.70,58.22,"1, 2"
1863,April,"8",68.73,66.00,63.34,"1"
1863,May,"26, 28",69.69,67.20,64.62,"7"
1863,June,"10",71.17,69.20,67.40,"16"
1863,July,"20",81.14,76.60,68.97,"1"
1863,August,"25",81.88,79.50,77.07,"1"
1863,September,"1",78.82,74.50,69.87,"29"
1863,October,"1",71.24,67.70,63.80,"15"
1863,November,"27",69.93,67.60,64.94,"21, 23"
1863,December,"1",67.51,66.20,65.47,"4, 29"
1864,January,"6",66.01,64.30,62.75,"19"
1864,February,"27",63.64,63.10,62.11,"16"
1864,March,"1",62.89,61.40,58.91,"26"
1864,April,"4",60.15,57.90,54.13,"26"
1864,May,"10",59.52,56.70,52.63,"31"
1864,June,"2",53.05,47.50,40.00,"29, 30"
1864,July,"1",45.05,38.70,35.09,"11"
1864,August,"30",43.20,39.40,38.20,"6"
1864,September,"30",52.36,44.90,39.29,"2"
1864,October,"3",52.91,48.30,43.91,"31"
1864,November,"18",47.62,42.80,38.46,"9"
1864,December,"19",47.00,44.00,41.15,"7"
1865,January,"21",50.70,46.30,42.67,"4"
1865,February,"21",50.92,48.70,46.14,"7"
1865,March,"24",67.51,57.50,49.75,"1"
1865,April,"10",69.69,67.30,64.73,"5"
1865,May,"11",77.82,73.70,68.91,"1"
1865,June,"5",73.94,71.40,67.74,"15"
1865,July,"3",72.14,70.40,68.43,"28"
1865,August,"11, 15",71.30,69.70,68.73,"2"
1865,September,"15",70.11,69.50,68.97,"1"
1865,October,"2, 3",69.38,68.70,67.11,"6"
1865,November,"1",68.73,68.00,67.23,"29"
1865,December,"9",69.20,68.40,67.34,"1, 4, 5"
