# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix A, Table 2: "Daily highest and lowest value in gold of $100 in currency"
# Pages 425-428. Values in gold dollars per $100 paper currency.
# Lower values = greater depreciation of greenbacks relative to gold.
year,month,day,highest,lowest
1862,1,1,99.50,98.52
1862,1,2,99.00,98.11
1862,1,3,98.04,97.00
1862,1,4,98.26,98.04
1862,1,6,97.30,97.56
1862,1,7,97.80,97.56
1862,1,8,96.85,96.50
1862,1,9,96.62,96.50
1862,1,10,95.69,95.24
1862,1,11,96.62,96.15
1862,1,13,97.09,97.00
1862,1,14,97.09,97.09
1862,1,15,97.09,97.00
1862,1,16,96.62,96.15
1862,1,17,96.15,95.69
1862,1,18,96.18,96.04
1862,1,20,97.80,97.56
1862,1,21,97.80,97.56
1862,1,22,97.84,97.56
1862,1,23,97.09,96.62
1862,1,24,97.09,96.62
1862,1,25,97.04,96.57
1862,1,27,97.09,96.62
1862,1,28,96.15,95.71
1862,1,29,96.62,96.14
1862,1,30,96.06,94.11
1862,1,31,96.62,96.50
1862,2,1,96.62,96.62
1862,2,3,96.15,96.62
1862,2,4,96.62,96.50
1862,2,5,96.62,96.50
1862,2,6,96.74,96.65
1862,2,7,96.62,96.50
1862,2,8,96.85,96.50
1862,2,10,94.52,96.27
1862,2,11,96.62,96.15
1862,2,13,96.15,95.69
1862,2,14,96.15,95.69
1862,2,15,96.15,95.46
1862,2,17,96.06,96.97
1862,2,18,97.09,96.53
1862,2,19,97.09,96.53
1862,2,20,96.97,96.50
1862,2,21,97.52,97.09
1862,2,22,97.52,97.09
1862,2,24,97.09,96.97
1862,2,25,96.87,96.38
1862,2,26,96.52,97.09
1862,2,27,96.97,96.50
1862,2,28,97.09,96.85
1862,3,1,97.05,97.56
1862,3,3,97.00,96.97
1862,3,4,97.09,96.97
1862,3,5,98.04,97.08
1862,3,6,98.52,98.08
1862,3,7,98.52,98.08
1862,3,8,98.25,98.16
1862,3,10,96.04,98.04
1862,3,11,96.04,98.04
1862,3,12,98.52,98.04
1862,3,13,98.52,98.08
1862,3,14,98.52,98.03
1862,3,15,97.77,98.52
1862,3,17,97.09,96.62
1862,3,18,97.09,96.62
1862,3,19,97.52,97.09
1862,3,20,97.52,97.90
1862,3,22,97.25,98.32
1862,3,24,97.25,98.32
1862,3,25,98.25,98.32
1862,3,26,98.25,98.32
1862,3,28,98.64,98.28
1862,4,1,98.16,98.04
1862,4,2,98.04,98.04
1862,4,3,98.04,97.08
1862,4,4,98.16,98.04
1862,4,5,98.25,98.04
1862,4,7,98.52,98.04
1862,4,8,98.25,98.16
1862,4,9,98.52,98.16
1862,4,10,98.52,98.04
1862,4,11,98.52,98.08
1862,4,12,98.52,98.04
1862,4,14,98.25,98.16
1862,4,15,98.52,98.08
1862,4,16,98.52,98.04
1862,4,17,98.52,98.04
1862,4,18,98.04,97.56
1862,4,19,97.77,98.02
1862,4,21,97.09,96.62
1862,4,22,98.04,97.56
1862,4,23,98.08,98.28
1862,4,24,98.08,98.28
1862,4,25,98.08,98.25
1862,4,26,98.08,98.28
1862,5,1,97.92,97.80
1862,5,2,97.92,97.09
1862,5,3,97.40,96.52
1862,5,5,97.09,96.62
1862,5,6,97.40,96.62
1862,5,7,97.09,96.50
1862,5,8,97.09,96.50
1862,5,9,96.62,96.15
1862,5,10,96.85,96.14
1862,5,12,96.62,96.50
1862,5,13,96.62,96.50
1862,5,14,96.62,96.50
1862,5,15,96.85,96.50
1862,5,16,96.62,96.50
1862,5,17,97.09,96.97
1862,5,19,98.08,96.83
1862,5,20,98.85,96.83
1862,5,21,98.85,96.62
1862,5,22,98.85,96.62
1862,5,23,98.85,96.62
1862,5,24,98.04,96.50
1862,5,26,97.09,96.50
1862,6,2,96.62,96.50
1862,6,3,96.62,96.08
1862,6,4,96.62,96.62
1862,6,5,96.62,96.81
1862,6,6,96.62,96.81
1862,6,7,96.62,96.81
1862,6,9,96.62,96.15
1862,6,10,96.62,96.15
1862,6,11,95.93,95.24
1862,6,12,95.69,95.24
1862,6,13,95.24,95.24
1862,6,14,95.24,94.79
1862,6,16,94.78,94.34
1862,6,17,94.34,93.90
1862,6,18,94.34,93.90
1862,6,19,94.34,93.90
1862,6,20,93.90,93.46
1862,6,21,93.90,93.46
1862,6,23,93.46,93.02
1862,6,24,93.02,93.02
1862,6,25,93.90,93.46
1862,6,26,94.34,93.90
1862,6,27,93.90,93.46
1862,6,28,93.46,93.02
1862,6,30,91.85,91.41
1862,7,1,91.91,91.41
1862,7,2,91.09,91.82
1862,7,3,91.52,91.03
1862,7,5,89.92,89.04
1862,7,7,89.89,89.09
1862,7,8,90.09,89.09
1862,7,9,89.09,87.41
1862,7,10,86.96,85.18
1862,7,11,85.85,85.11
1862,7,12,86.21,85.18
1862,7,14,85.85,85.34
1862,7,15,86.58,85.93
1862,7,16,85.58,85.79
1862,7,17,85.52,85.19
1862,7,18,84.93,83.88
1862,7,19,85.24,84.52
1862,7,21,84.03,83.62
1862,7,22,83.73,83.28
1862,7,23,83.51,83.44
1862,7,24,83.73,83.62
1862,7,25,84.18,83.84
1862,7,26,85.03,84.52
1862,7,28,85.45,85.02
1862,7,29,86.36,85.84
1862,7,30,86.21,86.46
1862,7,31,87.64,86.67
1862,8,1,86.96,86.50
1862,8,2,87.26,86.96
1862,8,4,86.54,86.50
1862,8,5,86.21,86.50
1862,8,6,85.47,84.97
1862,8,7,85.34,84.97
1862,8,9,86.77,86.36
1862,8,11,86.11,85.34
1862,8,12,86.77,86.36
1862,8,13,86.34,85.24
1862,8,14,86.77,86.36
1862,8,15,86.77,86.36
1862,8,16,86.96,86.77
1862,8,18,86.96,86.77
1862,8,19,86.71,86.36
1862,8,20,86.77,86.39
1862,8,21,86.77,86.36
1862,8,22,86.77,86.36
1862,8,23,86.71,86.38
1862,8,25,85.45,85.02
1862,8,26,86.21,86.62
1862,8,27,86.36,85.84
1862,8,28,86.77,86.36
1862,8,29,87.64,86.67
1862,9,1,85.84,85.43
1862,9,2,85.47,84.97
1862,9,3,84.97,84.44
1862,9,4,85.21,84.84
1862,9,5,84.24,83.88
1862,9,6,84.21,83.88
1862,9,8,84.71,83.68
1862,9,9,84.79,84.24
1862,9,10,84.84,84.11
1862,9,11,83.86,84.11
1862,9,12,84.83,84.03
1862,9,13,84.83,84.03
1862,9,15,84.81,84.03
1862,9,16,84.84,84.25
1862,9,17,85.11,84.83
1862,9,18,84.83,84.03
1862,9,19,84.83,84.03
1862,9,20,84.83,84.03
1862,9,22,84.89,82.02
1862,9,23,83.89,82.98
1862,9,24,83.89,82.98
1862,9,25,83.89,82.98
1862,9,26,83.89,82.98
1862,9,27,83.89,82.98
1862,9,29,82.89,82.02
1862,10,1,81.97,80.81
1862,10,2,81.38,80.56
1862,10,3,81.52,81.30
1862,10,4,81.28,80.56
1862,10,6,80.48,80.16
1862,10,7,80.06,79.36
1862,10,8,80.84,80.06
1862,10,9,80.84,80.03
1862,10,10,80.84,80.03
1862,10,11,80.81,80.06
1862,10,13,77.52,77.27
1862,10,14,77.27,77.52
1862,10,15,77.52,77.27
1862,10,16,77.78,77.27
1862,10,17,77.52,77.27
1862,10,18,77.52,77.52
1862,10,20,78.93,78.43
1862,10,21,78.93,78.43
1862,10,22,78.93,78.43
1862,10,23,78.93,78.43
1862,10,24,78.93,78.43
1862,10,25,78.93,78.43
1862,10,27,78.93,78.43
1862,10,28,78.93,78.43
1862,10,29,78.93,78.43
1862,10,30,78.93,78.43
1862,10,31,70.92,70.18
1862,11,1,77.25,76.19
1862,11,3,77.25,76.19
1862,11,4,76.19,75.65
1862,11,5,76.19,75.65
1862,11,6,76.45,75.15
1862,11,7,75.65,74.65
1862,11,8,75.65,74.65
1862,11,10,75.05,74.63
1862,11,11,74.91,74.63
1862,11,12,75.05,74.63
1862,11,13,74.91,74.63
1862,11,14,74.91,74.63
1862,11,15,75.05,74.63
1862,11,17,75.05,74.63
1862,11,18,75.65,75.15
1862,11,19,75.65,75.15
1862,11,20,76.19,75.65
1862,11,21,75.65,75.15
1862,11,22,75.65,75.15
1862,11,24,75.05,74.63
1862,11,25,75.05,74.63
1862,11,26,75.05,74.63
1862,11,27,75.05,74.63
1862,12,1,77.62,76.16
1862,12,2,76.19,75.65
1862,12,3,76.19,75.65
1862,12,4,76.19,75.65
1862,12,5,76.19,75.65
1862,12,6,76.19,75.65
1862,12,8,75.12,74.07
1862,12,9,74.07,73.99
1862,12,10,74.63,73.99
1862,12,11,74.63,73.99
1862,12,12,74.17,73.56
1862,12,13,73.27,72.65
1862,12,15,72.73,71.90
1862,12,16,72.73,71.90
1862,12,17,72.12,71.56
1862,12,18,71.56,71.12
1862,12,19,71.56,71.12
1862,12,20,71.12,70.56
1862,12,22,71.02,70.56
1862,12,23,71.02,70.56
1862,12,24,71.12,70.56
1862,12,26,69.06,68.44
1862,12,27,69.06,68.34
1862,12,29,69.06,68.44
1862,12,30,67.84,67.00
1862,12,31,68.62,66.50
1863,1,1,74.84,74.20
1863,1,2,74.38,73.09
1863,1,3,73.05,72.56
1863,1,5,74.28,73.94
1863,1,6,73.05,72.56
1863,1,7,73.69,72.89
1863,1,8,73.05,72.30
1863,1,9,66.62,67.30
1863,1,10,66.62,67.09
1863,1,12,67.17,67.09
1863,1,13,67.11,67.25
1863,1,14,68.09,67.74
1863,1,15,68.09,67.74
1863,1,16,68.60,67.57
1863,1,17,65.60,67.57
1863,1,19,67.68,67.23
1863,1,20,67.88,67.28
1863,1,21,67.68,67.34
1863,1,22,67.60,67.12
1863,1,23,67.16,67.06
1863,1,24,66.88,66.57
1863,1,26,67.75,65.90
1863,1,27,66.06,64.11
1863,1,28,65.30,64.11
1863,1,29,62.80,62.21
1863,1,30,62.89,62.21
1863,1,31,62.36,62.21
1863,2,2,60.58,62.89
1863,2,3,64.25,66.00
1863,2,4,63.85,63.09
1863,2,5,63.52,63.08
1863,2,6,64.52,63.09
1863,2,7,64.52,63.19
1863,2,9,64.25,63.90
1863,2,10,63.50,63.08
1863,2,11,64.17,63.08
1863,2,12,64.35,63.93
1863,2,13,64.52,63.93
1863,2,14,64.52,63.93
1863,2,16,64.16,63.65
1863,2,17,64.52,63.93
1863,2,18,65.36,63.98
1863,2,19,65.38,64.98
1863,2,20,65.38,64.98
1863,2,21,65.36,64.98
1863,2,23,65.25,65.14
1863,2,24,65.37,65.38
1863,2,25,66.37,65.38
1863,2,26,66.87,67.38
1863,2,27,69.85,67.38
1863,2,28,67.34,66.97
1863,3,2,68.31,68.55
1863,3,3,62.39,63.05
1863,3,4,62.61,62.52
1863,3,5,62.30,63.28
1863,3,6,62.62,64.41
1863,3,7,62.73,64.41
1863,3,9,64.28,64.73
1863,3,10,62.40,63.62
1863,3,11,62.37,63.05
1863,3,12,62.37,63.62
1863,3,13,62.37,63.05
1863,3,14,62.37,63.28
1863,3,16,62.34,62.52
1863,3,17,62.39,63.05
1863,3,18,63.47,63.60
1863,3,19,63.52,63.62
1863,3,20,63.52,63.62
1863,3,21,64.07,64.73
1863,3,23,65.25,65.15
1863,3,24,65.48,65.72
1863,3,25,65.23,65.15
1863,3,26,65.03,65.06
1863,3,27,68.25,65.43
1863,3,28,68.23,65.15
1863,3,30,68.29,65.06
1863,3,31,67.34,66.97
1863,4,1,64.19,63.34
1863,4,2,65.27,63.09
1863,4,3,65.31,63.09
1863,4,4,64.62,64.41
1863,4,6,64.62,64.41
1863,4,7,65.29,63.41
1863,4,8,65.29,63.41
1863,4,9,63.28,63.02
1863,4,10,65.29,63.41
1863,4,11,65.29,63.41
1863,4,13,65.79,64.94
1863,4,14,66.49,66.34
1863,4,15,66.49,66.34
1863,4,16,67.09,66.34
1863,4,17,67.49,66.94
1863,4,18,65.79,64.94
1863,4,20,67.31,64.89
1863,4,21,67.34,64.89
1863,4,22,66.45,66.29
1863,4,23,67.06,66.29
1863,4,24,66.46,66.29
1863,4,25,66.46,66.29
1863,4,27,66.49,66.34
1863,4,28,66.49,66.34
1863,4,29,66.46,66.29
1863,4,30,66.46,66.29
1863,5,1,66.34,64.01
1863,5,2,66.72,64.45
1863,5,4,67.45,66.87
1863,5,5,67.45,66.87
1863,5,6,67.42,66.87
