# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 1, Part A: "Relative Prices of Farm Products — Individual Series"
# Pages 429-433. Relative prices (index, base=100).
date,commodity,city,value
1860-01,Barley,New York,103
1860-04,Barley,New York,100
1860-07,Barley,New York,
1860-10,Barley,New York,96
1861-01,Barley,New York,90
1861-04,Barley,New York,88
1861-07,Barley,New York,94
1861-10,Barley,New York,81
1862-01,Barley,New York,94
1862-04,Barley,New York,
1862-07,Barley,New York,
1862-10,Barley,New York,75
1863-01,Barley,New York,196
1863-04,Barley,New York,191
1863-07,Barley,New York,
1863-10,Barley,New York,163
1864-01,Barley,New York,178
1864-04,Barley,New York,
1864-07,Barley,New York,
1864-10,Barley,New York,232
1865-01,Barley,New York,257
1865-04,Barley,New York,292
1865-07,Barley,New York,163
1865-10,Barley,New York,100
1866-01,Barley,New York,135
1866-04,Barley,New York,153
1866-07,Barley,New York,135
1866-10,Barley,New York,175
1860-01,Barley,Chicago,101
1860-04,Barley,Chicago,117
1860-07,Barley,Chicago,93
1860-10,Barley,Chicago,89
1861-01,Barley,Chicago,68
1861-04,Barley,Chicago,71
1861-07,Barley,Chicago,34
1861-10,Barley,Chicago,59
1862-01,Barley,Chicago,59
1862-04,Barley,Chicago,
1862-07,Barley,Chicago,101
1862-10,Barley,Chicago,131
1863-01,Barley,Chicago,161
1863-04,Barley,Chicago,186
1863-07,Barley,Chicago,195
1863-10,Barley,Chicago,181
1864-01,Barley,Chicago,25
1864-04,Barley,Chicago,233
1864-07,Barley,Chicago,
1864-10,Barley,Chicago,248
1865-01,Barley,Chicago,239
1865-04,Barley,Chicago,165
1865-07,Barley,Chicago,101
1865-10,Barley,Chicago,129
1866-01,Barley,Chicago,310
1866-04,Barley,Chicago,89
1866-07,Barley,Chicago,70
1866-10,Barley,Chicago,140
1860-01,Barley,Cincinnati,84
1860-04,Barley,Cincinnati,109
1860-07,Barley,Cincinnati,98
1860-10,Barley,Cincinnati,109
1861-01,Barley,Cincinnati,92
1861-04,Barley,Cincinnati,75
1861-07,Barley,Cincinnati,57
1861-10,Barley,Cincinnati,52
1862-01,Barley,Cincinnati,57
1862-04,Barley,Cincinnati,80
1862-07,Barley,Cincinnati,80
1862-10,Barley,Cincinnati,115
1863-01,Barley,Cincinnati,155
1863-04,Barley,Cincinnati,184
1863-07,Barley,Cincinnati,
1863-10,Barley,Cincinnati,172
1864-01,Barley,Cincinnati,100
1864-04,Barley,Cincinnati,155
1864-07,Barley,Cincinnati,
1864-10,Barley,Cincinnati,224
1865-01,Barley,Cincinnati,184
1865-04,Barley,Cincinnati,149
1865-07,Barley,Cincinnati,86
1865-10,Barley,Cincinnati,120
1866-01,Barley,Cincinnati,161
1866-04,Barley,Cincinnati,132
1866-07,Barley,Cincinnati,172
1866-10,Barley,Cincinnati,184
1860-01,Clover Seed,New York,103
1860-04,Clover Seed,New York,94
1860-07,Clover Seed,New York,
1860-10,Clover Seed,New York,103
1861-01,Clover Seed,New York,103
1861-04,Clover Seed,New York,91
1861-07,Clover Seed,New York,
1861-10,Clover Seed,New York,
1862-01,Clover Seed,New York,84
1862-04,Clover Seed,New York,
1862-07,Clover Seed,New York,
1862-10,Clover Seed,New York,89
1863-01,Clover Seed,New York,126
1863-04,Clover Seed,New York,117
1863-07,Clover Seed,New York,
1863-10,Clover Seed,New York,149
1864-01,Clover Seed,New York,161
1864-04,Clover Seed,New York,183
1864-07,Clover Seed,New York,
1864-10,Clover Seed,New York,251
1865-01,Clover Seed,New York,226
1865-04,Clover Seed,New York,294
1865-07,Clover Seed,New York,343
