# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 1, Part A: "Relative Prices of Farm Products — Individual Series"
# Pages 429-433. Relative prices (index, 1860 average = 100).
#
# Quarterly, January/April/July/October, 1860-1866. Mitchell prints the 38 series in
# five blocks across five pages, each block covering a different span of dates; they
# share one date index and are merged here.
#
# Columns are commodity_city. The cities are the markets Mitchell quotes: New York,
# Chicago and Cincinnati. Not every commodity is quoted in every market, and coverage
# is ragged — 46 of the 1,064 cells are printed "..." and are left blank here.
#
# Part B of the same table, the averages across these series, is in
# mitchell_appendix_b_table1b_averages.csv.
#
# Re-transcribed 17 September 2026 from the page images.
date,barley_new_york,barley_chicago,barley_cincinnati,clover_seed_new_york,clover_seed_chicago,corn_new_york,corn_cincinnati,flax_seed_new_york,flax_seed_cincinnati,hides_cincinnati,hides_chicago,hides_new_york,meat_beeves_cincinnati,meat_beeves_new_york,meat_beeves_chicago,meat_sheep_new_york,meat_sheep_cincinnati,meat_pork_chicago,meat_pork_cincinnati,meat_pork_new_york,oats_new_york,oats_cincinnati,rye_cincinnati,rye_new_york,timothy_seed_cincinnati,timothy_seed_chicago,timothy_seed_new_york,tobacco_leaf_average_cincinnati,tobacco_leaf_fine_cincinnati,tobacco_wrappers_ohio_new_york,tobacco_wrappers_pennsylvania_new_york,tobacco_wrappers_connecticut_new_york,tobacco_leaf_kentucky_new_york,wheat_winter_new_york,wheat_spring_new_york,wheat_prime_cincinnati,wheat_no2_winter_chicago,wheat_no2_spring_chicago
1860-01,103,101,84,103,99,122,107,98,100,100,91,100,103,103,97,101,110,91,121,90,111,119,113,107,87,83,94,100,100,100,100,126,112,102,105,103,99,99
1860-04,100,117,109,94,88,97,95,102,100,107,100,103,117,108,113,110,138,100,101,97,103,106,119,100,121,113,110,100,100,100,100,91,98,105,98,110,105,105
1860-07,,93,98,,99,87,97,101,100,107,106,103,90,92,105,92,83,101,62,107,95,101,87,99,,116,,,,100,100,91,89,102,103,93,105,108
1860-10,96,89,109,103,114,94,101,99,100,85,103,94,90,97,85,97,69,108,116,106,92,74,81,94,92,87,96,,,100,100,91,101,91,94,95,91,88
1861-01,90,64,92,103,102,97,71,101,100,93,69,68,97,103,105,101,138,87,115,86,90,64,70,,,89,98,,,100,100,91,104,98,97,84,,82
1861-04,88,71,78,91,89,88,67,91,100,93,82,75,110,90,105,99,124,87,98,82,80,64,63,77,107,85,120,,,100,100,91,98,99,102,83,96,81
1861-07,94,34,57,91,89,65,57,,91,63,58,61,76,90,110,78,55,53,63,68,72,57,52,,,,101,,,88,88,74,110,78,65,63,,57
1861-10,81,59,52,,92,75,57,98,91,85,69,86,90,90,77,87,55,51,61,63,83,59,41,82,58,57,72,84,118,88,88,74,125,95,94,66,76,74
1862-01,94,59,57,84,85,89,57,116,114,78,72,83,83,103,73,106,90,48,65,60,99,69,49,101,58,64,77,145,123,88,88,74,146,103,103,72,71,70
1862-04,113,80,80,98,105,79,69,140,136,100,86,75,90,97,97,110,110,52,65,74,93,72,63,94,66,65,82,116,105,104,104,94,152,97,102,78,73,74
1862-07,,101,80,89,83,75,73,129,,100,79,83,97,87,90,97,72,45,47,57,103,84,56,87,,,67,148,127,104,104,94,153,86,85,69,76,75
1862-10,75,131,115,89,102,82,81,125,114,100,103,94,76,87,85,101,103,57,63,67,138,99,66,75,64,60,74,222,182,131,131,118,223,93,92,72,85,83
1863-01,166,161,155,126,124,109,91,193,182,126,106,99,90,97,92,110,83,69,94,75,166,128,69,107,68,72,110,241,218,131,131,118,259,107,103,83,93,86
1863-04,191,186,184,117,107,126,133,182,295,130,120,94,131,118,145,138,179,84,76,88,200,173,113,126,78,59,82,284,236,173,173,191,312,125,99,108,112,110
1863-07,,195,,,120,103,115,165,,137,113,94,124,110,110,87,114,76,74,88,178,156,85,121,,,94,284,236,173,173,191,238,108,102,89,100,97
1863-10,163,181,172,149,120,119,182,165,182,137,141,103,97,103,101,97,121,79,57,79,168,173,113,130,99,91,94,220,205,173,173,191,213,98,103,93,95,104
1864-01,178,205,190,161,143,178,208,207,227,148,132,125,131,118,105,136,145,92,141,113,224,205,153,152,120,110,104,255,218,173,173,191,262,116,118,110,108,115
1864-04,165,233,155,183,139,178,212,223,236,141,156,139,179,144,141,179,200,144,151,139,214,195,149,151,110,101,106,253,218,231,231,235,262,126,131,110,123,114
1864-07,,233,,,161,217,218,231,255,174,161,161,166,162,177,117,110,184,151,176,238,200,175,236,,,120,220,218,269,269,265,253,190,193,169,176,199
1864-10,232,248,224,251,193,217,242,200,255,159,120,133,193,178,153,147,166,142,237,179,208,185,158,173,229,162,192,216,205,269,269,265,318,143,149,143,129,149
1865-01,257,220,184,326,309,257,212,233,259,156,139,153,221,164,169,175,207,227,314,219,261,212,164,203,227,218,226,261,295,269,269,265,333,185,184,173,144,160
1865-04,202,165,149,294,298,196,141,176,182,156,100,104,262,215,242,211,276,197,227,191,212,148,113,145,174,152,211,247,318,135,135,176,387,134,137,127,,101
1865-07,163,101,86,343,161,102,131,142,136,96,91,83,193,159,145,101,117,147,174,169,177,153,70,101,,181,134,273,341,96,96,135,226,107,103,105,111,92
1865-10,160,129,,274,163,125,127,190,245,119,122,128,166,190,222,124,152,235,257,229,144,111,88,119,155,144,182,240,341,115,115,162,297,166,141,181,132,126
1866-01,135,110,161,160,158,127,107,187,227,133,93,139,172,174,179,161,166,176,244,165,122,96,85,121,140,129,163,237,250,115,115,169,297,148,139,165,,98
