# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 1, Part B: "Averages for the Several Products"
# Pages 433-434. Relative prices (index, 1860 average = 100).
#
# Quarterly, January/April/July/October, 1860-1866. Mitchell splits the thirteen
# products across two blocks for typographic reasons and breaks the first block over
# two pages; the date index is identical, so they are one table here.
#
# Re-transcribed 17 September 2026 from the page images.
date,barley,clover_seed,corn,flax_seed,hides,meat_beeves,meat_sheep,meat_pork,oats,rye,timothy_seed,tobacco,wheat
1860-01,96,101,115,99,97,101,106,101,115,110,88,106,102
1860-04,109,91,96,101,103,113,124,99,105,110,115,98,105
1860-07,96,99,92,101,105,96,88,90,98,93,116,95,102
1860-10,98,109,98,100,94,91,83,113,83,88,92,98,92
1861-01,82,103,84,101,77,102,120,96,77,70,94,99,90
1861-04,79,90,78,96,83,102,112,89,72,70,156,97,92
1861-07,62,90,61,91,61,92,67,61,65,52,101,90,66
1861-10,64,92,66,95,80,86,71,58,71,62,62,96,81
1862-01,70,85,73,115,78,86,98,58,84,75,66,111,84
1862-04,91,102,74,138,87,95,110,64,83,79,71,113,85
1862-07,91,86,74,129,87,91,85,50,94,72,67,122,78
1862-10,107,96,82,120,99,83,102,62,119,71,66,168,85
1863-01,161,125,100,188,110,93,97,76,147,88,83,183,94
1863-04,187,112,130,239,115,131,159,83,187,120,73,228,111
1863-07,195,120,109,165,115,115,101,79,167,103,94,216,99
1863-10,172,135,151,174,127,100,109,72,171,122,95,196,99
1864-01,191,152,193,217,135,118,141,115,215,153,111,212,113
1864-04,184,161,195,230,145,155,190,145,205,150,106,238,121
1864-07,233,161,218,243,165,168,114,170,219,206,120,249,185
1864-10,235,222,230,228,137,175,157,186,197,166,194,257,143
1865-01,220,318,235,246,149,185,191,253,237,184,224,282,169
1865-04,172,296,169,179,120,240,194,205,180,129,179,233,125
1865-07,117,252,117,139,90,166,109,163,165,86,158,195,104
1865-10,145,219,126,218,123,193,138,240,128,104,160,212,149
1866-01,135,159,117,207,122,175,164,195,109,103,144,197,138
1866-04,125,119,102,183,117,169,160,178,108,87,149,186,136
1866-07,128,137,123,234,117,196,126,176,129,125,146,186,170
1866-10,166,160,148,232,121,182,120,184,124,138,123,175,200
