# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 2: "Relative Prices of Various Commodities at Wholesale"
# Pages 435-448. Relative prices (index, 1860 average = 100).
#
# Quarterly, January/April/July/October, 1860-1865. 122 series, 2,928 cells, of
# which 36 are printed "...." and left blank.
#
# Mitchell lays the table out in blocks of six columns across fourteen pages, each
# block covering part of the date range; they share one date index and are merged
# here. Column names are commodity plus grade or description, as printed.
#
# TWO COLUMNS ARE NOT QUOTED IN THE HEADING MONTHS. Mitchell prints a month against
# each figure for fish_cod and meat_beef_loins: they are quoted in February, May,
# August and November rather than January, April, July and October. The values sit on
# the row of the quarter they belong to, as in the source, but they are one month
# later than every other column.
#
# Re-transcribed 17 September 2026 from the page images, replacing a version in which
# 35 of the 72 cells on page 446 were wrong. See FINDINGS_TRANSCRIPTION.md.
date,alcohol,alum,beans,bichromate_of_potash,blue_vitriol,bread_boston_crackers_1,bread_boston_crackers_2,bread_boston_crackers_extra_grade,brick,brimstone,butter,butts_loose_joint_cast_3x3_inch,calico,candles,carpets_brussels,carpets_ingrain,carpets_wilton,castor_oil,cement_rosendale,cheese,chestnut_lumber_in_the_log,coal_anthracite_chestnut,coal_anthracite_egg,coal_anthracite_grate,coal_anthracite_stove,coal_bituminous,coffee_rio_fair,copper_ingot,copper_sheet,copperas,cotton_upland_middling,denims,drillings_30_inch_pepperell,eggs,fish_cod,flax_seed,flour_rye,fruit_apples_dried,fruit_currants_zante,fruit_raisins,furniture_chairs_bed_room,furniture_chairs_kitchen,furniture_tables_kitchen,hemlock_lumber_in_the_log,iron_wire,jute,lard,lead_drop_shot,lead_pig,lead_pipe,leather_harness,lime_rockland,linseed_oil,matches,meal_corn_yellow_kiln_dried,meat_beef_loins,meat_beef_ribs,meat_beef_salt_mess,meat_mutton,meat_pork_salt_mess,mercury,molasses_new_orleans_prime,molasses_porto_rico_best,muriatic_acid,opium,oxide_of_zinc,pails_wooden_2_hoops_1,pails_wooden_2_hoops_2,pails_wooden_3_hoops,pine_boards_1_inch,pine_lumber_in_the_log,powder_rifle,print_cloths_28_inch_64x64_metacomet,print_cloths_28_inch_7_yds_to_lb_standard,putty,quicksilver,quinine,rope_manilla,rope_tarred_american,rubber_para,salt_ashtons,salt_ashtons_liverpool_fine,salt_turks_island,sheetings_brown_4_4_atlantic_a,ship_biscuit,shirtings_bleached_4_4_ny_mills,shovels,silk_raw_italian,soap_castile,soda_ash,spelter_imported,spices_nutmegs,spices_pepper_whole_sumatra,spruce_boards,starch_corn,starch_ontario,starch_pearl,starch_pure,starch_refined,starch_silver_gloss,sugar_fair_refining,sugar_havana_brown,sugar_of_lead_brown,sugar_of_lead_white,sugar_refined_crushed_and_granulated,sulphuric_acid,tallow_prime_city_in_hhds,tickings,tin_plates_ic_coke,tubs_wooden_1,tubs_wooden_2,tubs_wooden_3,tubs_wooden_4,turpentine,vegetables_fresh_potatoes_white_1,vegetables_fresh_potatoes_white_2,window_glass_american_10x14_firsts,window_glass_american_10x14_thirds,window_glass_french_10x14_firsts,window_glass_french_10x14_thirds,wood_screws_1_inch_no_10_flat_head_iron,zinc_imported_sheet
1860-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,114.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,149.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,133.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,111.1,100.0,100.0,100.0,106.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.7,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,110.0,100.0,143.8,91.7,105.8,85.1,106.3,100.0,100.0
1860-04,85.2,105.6,93.3,95.2,97.4,100.0,100.0,100.0,97.1,100.0,81.0,100.0,105.3,100.0,96.2,100.3,100.0,104.8,100.0,110.0,100.0,,100.0,100.0,,105.0,115.2,97.9,100.0,125.0,101.1,103.5,97.2,88.9,100.0,98.2,100.0,90.3,104.2,103.3,100.0,100.0,100.0,100.0,,108.6,97.6,119.1,101.7,116.7,100.0,141.7,105.3,100.0,96.4,100.0,93.3,91.3,120.0,109.1,100.0,90.6,107.9,100.0,121.7,111.1,100.0,100.0,100.0,106.4,100.0,100.0,100.0,97.8,100.0,112.3,122.7,100.0,100.0,109.1,76.9,77.9,90.0,102.9,100.0,100.0,100.0,100.0,114.7,100.0,100.0,102.4,98.5,91.7,100.0,100.0,100.0,100.0,100.0,100.0,93.1,96.9,93.3,95.7,97.5,100.0,102.4,100.0,101.7,100.0,100.0,100.0,97.8,115.0,100.0,137.5,91.7,100.0,100.0,106.3,100.0,100.0
1860-07,81.5,100.0,93.3,100.0,97.4,100.0,100.0,100.0,100.0,122.2,81.0,93.0,100.0,96.3,92.3,99.3,97.3,100.0,100.0,75.0,100.0,92.1,97.4,97.3,98.7,102.0,117.4,89.4,100.0,125.0,97.7,103.5,100.0,78.8,112.5,103.1,95.0,87.1,91.7,106.5,100.0,100.0,100.0,100.0,100.0,105.7,114.3,114.9,98.0,112.5,102.9,100.0,103.5,100.0,89.2,100.0,93.3,87.0,100.0,109.8,100.0,90.6,100.0,100.0,95.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,113.3,136.4,97.0,100.0,122.7,89.7,90.9,97.5,102.9,100.0,100.0,100.0,105.6,117.6,94.7,99.0,101.2,98.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.4,93.0,93.3,95.7,100.0,100.0,97.6,100.0,101.7,100.0,100.0,96.6,93.3,100.0,128.6,112.5,100.0,100.0,100.0,100.0,80.5,101.8
1860-10,85.2,100.0,120.0,100.0,94.7,100.0,100.0,100.0,102.8,128.9,95.2,89.5,100.0,96.3,92.3,98.0,97.3,104.8,100.0,100.0,104.2,107.9,111.8,112.2,102.6,105.0,121.7,90.4,100.0,125.0,97.7,103.5,100.0,83.2,125.0,101.2,100.0,77.4,79.2,123.9,80.0,100.0,100.0,133.3,100.0,100.0,116.7,110.6,97.8,104.2,100.0,125.0,101.8,100.0,92.8,94.4,93.3,82.6,100.0,116.7,100.0,94.3,105.3,100.0,104.3,100.0,100.0,100.0,100.0,106.4,125.0,100.0,100.0,97.8,100.0,113.8,159.1,97.0,100.0,118.2,82.1,83.1,100.0,102.9,100.0,100.0,100.0,100.0,108.8,89.5,95.2,100.0,101.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.2,91.4,100.0,95.7,93.8,100.0,97.6,100.0,96.5,100.0,100.0,89.7,88.9,105.0,100.0,100.0,100.0,100.0,100.0,100.0,116.7,96.4
1861-01,74.1,94.4,100.0,100.0,94.7,107.1,117.6,116.7,102.8,133.3,81.0,89.5,100.0,96.3,92.3,101.4,97.3,95.2,100.0,100.0,104.2,98.4,105.3,116.2,116.7,108.0,100.0,80.9,100.0,125.0,109.1,103.5,97.2,103.2,125.0,89.0,92.5,77.4,75.0,89.1,80.0,100.0,100.0,133.3,100.0,114.3,95.2,110.6,95.2,104.2,94.3,133.3,187.7,100.0,84.3,88.9,93.3,91.3,110.0,101.5,100.0,69.8,92.1,100.0,82.6,100.0,98.2,100.0,100.0,106.4,125.0,100.0,86.0,84.4,116.7,113.3,154.5,97.0,,100.0,82.1,83.1,85.0,102.9,112.5,96.8,100.0,100.0,114.7,89.5,90.5,90.5,95.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.1,72.7,100.0,100.0,83.8,109.1,82.9,95.6,94.7,90.0,93.8,89.7,88.9,87.5,100.0,112.5,100.0,94.0,93.8,100.0,116.7,92.9
1861-04,66.7,94.4,103.2,100.0,86.8,107.1,123.5,116.7,91.4,95.6,85.7,89.5,94.7,96.3,96.2,95.0,100.0,85.7,90.0,90.0,108.3,103.2,93.4,110.8,94.9,96.0,104.3,80.9,93.2,125.0,117.0,103.5,97.2,88.9,125.0,85.8,95.0,51.6,75.0,68.5,80.0,100.0,100.0,133.3,100.0,91.4,85.7,110.6,95.2,108.3,88.6,133.3,105.3,100.0,90.4,88.9,100.0,91.3,110.0,109.1,100.0,70.8,86.8,100.0,91.3,100.0,98.2,100.0,100.0,106.4,125.0,100.0,79.1,77.8,116.7,108.7,172.7,106.1,108.1,68.2,82.1,83.1,95.0,102.9,112.5,96.8,100.0,83.3,111.8,89.5,90.5,95.2,101.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,65.5,67.2,93.3,100.0,80.0,109.1,95.1,95.6,98.2,90.0,93.8,89.7,88.9,90.0,128.6,118.8,100.0,95.6,108.9,97.7,116.7,100.0
1861-07,63.0,94.4,120.0,100.0,89.5,100.0,129.4,116.7,80.0,88.9,61.9,89.5,94.7,96.3,96.2,95.1,100.0,85.7,90.0,60.0,108.3,95.2,97.4,97.3,98.7,92.0,104.3,76.6,93.2,125.0,134.1,103.5,97.2,64.5,125.0,92.0,75.0,103.2,66.7,50.0,80.0,100.0,100.0,133.3,100.0,91.4,76.2,110.6,84.8,108.3,85.7,133.3,94.7,100.0,72.5,83.3,93.3,82.6,100.0,97.0,100.0,67.9,71.2,100.0,95.7,100.0,98.2,100.0,100.0,106.4,125.0,120.0,76.7,80.0,116.7,98.5,,93.9,105.1,81.8,82.1,83.1,100.0,105.8,100.0,96.8,100.0,77.8,117.6,78.9,81.0,97.6,98.5,87.5,100.0,100.0,100.0,100.0,100.0,100.0,63.8,64.1,93.3,100.0,77.5,109.1,78.0,98.5,98.2,90.0,93.8,89.7,88.9,205.0,114.3,143.8,100.0,103.4,96.1,97.7,116.7,100.0
1861-10,74.1,94.4,120.0,95.2,94.7,100.0,129.5,116.7,85.7,88.9,64.3,89.5,105.3,96.3,96.2,92.6,100.0,102.9,90.0,60.0,108.3,107.9,97.4,102.7,97.4,97.0,134.8,87.2,93.2,112.5,195.5,105.2,116.8,74.5,125.0,92.0,87.5,77.4,158.3,102.2,80.0,100.0,100.0,133.3,100.0,102.9,76.2,119.1,100.4,116.7,100.0,133.3,103.5,100.0,73.5,83.3,86.7,95.7,90.0,90.9,81.8,103.8,118.4,100.0,100.0,100.0,98.2,98.1,96.9,106.4,125.0,120.0,104.7,106.7,116.7,96.4,190.9,90.9,,77.3,84.6,85.7,120.0,135.1,100.0,103.2,100.0,72.2,141.2,105.5,85.7,113.1,134.3,83.3,94.1,100.0,91.7,92.3,92.9,93.5,106.9,100.0,93.3,100.0,108.8,109.1,82.9,101.5,89.5,90.0,93.8,86.2,86.7,362.5,114.3,106.3,100.0,111.2,96.1,109.1,116.7,103.6
1862-01,74.1,94.4,136.5,100.0,94.7,107.1,135.3,116.7,85.7,133.3,90.5,89.5,131.6,92.6,100.0,106.6,105.4,119.1,90.0,70.0,116.7,95.2,97.4,108.1,98.7,97.0,156.5,112.8,93.2,150.0,327.3,124.1,146.0,134.8,125.0,110.4,100.0,96.8,150.0,139.1,80.0,100.0,100.0,166.7,100.0,146.3,76.2,144.7,121.2,141.7,94.3,,149.1,100.0,78.3,83.3,86.7,104.3,100.0,75.0,81.8,103.8,105.3,116.7,87.0,100.0,92.9,92.6,93.8,106.4,187.5,140.0,107.0,160.0,133.3,96.4,227.3,121.2,118.9,87.3,87.2,88.3,100.0,164.5,100.0,109.7,94.7,72.2,152.9,121.1,109.5,142.9,185.1,83.3,94.1,100.0,91.7,92.3,92.9,93.5,106.9,97.7,126.7,104.3,110.0,127.3,92.7,122.1,108.9,90.0,83.8,81.4,80.0,350.0,128.6,112.5,100.0,118.5,96.1,118.9,116.7,103.6
1862-04,88.9,100.0,116.6,95.2,94.7,107.1,141.2,120.8,91.4,95.6,97.6,89.5,126.3,88.9,100.0,109.1,105.4,152.4,90.0,75.0,125.0,85.7,92.1,91.9,92.3,135.0,178.2,93.6,103.4,125.0,250.0,136.2,146.0,74.5,125.0,135.0,100.0,90.3,158.3,139.1,80.0,100.0,100.0,166.7,100.0,125.7,73.8,144.7,116.9,141.7,94.3,137.5,149.1,100.0,75.9,83.3,86.7,100.0,100.0,76.5,81.8,84.9,100.0,116.7,87.0,100.0,92.9,92.6,93.8,109.6,187.5,120.0,125.6,128.9,133.3,88.2,204.5,130.3,118.9,90.9,92.3,93.5,120.0,164.5,100.0,116.1,94.7,72.2,158.8,111.1,95.2,160.7,191.0,83.3,94.1,100.0,91.7,92.3,92.9,93.5,101.7,96.9,113.3,100.0,102.5,127.3,87.8,150.0,105.3,100.0,100.0,89.7,98.7,245.0,128.6,125.0,100.0,159.3,96.1,140.7,116.7,103.6
