# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 4: "Relative Prices of Various Commodities at Retail"
# Pages 451-468. Relative prices (index, first year quoted = 100).
#
# 556 series across 60 commodity blocks, each block a commodity quoted in a set of
# towns. Annual, 1860-1866. Blank cells are printed "..." in the source: most often
# a town whose series begins in 1861 rather than 1860.
#
# THE 1867 AND 1868 COLUMNS APPLY ONLY TO RENTS. Mitchell's note to the table: "In
# the case of rent figures are given for 1867 and 1868 for the purposes of Part II,
# chap. vi." Every other block stops at 1866, so those two columns are blank for all
# but the two rent blocks.
#
# Mitchell's note on the source: "The source of the following series of relative
# prices at retail is the report prepared by Mr. J. D. Weeks in 1880-83 and published
# as Vol. XX of the Tenth Census. Not all of the material supplied by Mr. Weeks,
# however, has been used, for he gives some series of prices at unspecified times of
# the year and others 'on or about June 1.' Those series 'showing average for the
# year' alone were used as the basis for the computations in the text, and they alone
# are given here."
#
# initial_price is Mitchell's "Initial Price" column, in the unit named by the unit
# column. Fractions are kept as printed, e.g. "0.08 1/3".
#
# TWO CELLS ARE LEFT BLANK BECAUSE THE PRINTING IS DEFECTIVE, not because the source
# has no figure. Both read as "1 9" or "1 3" with the middle digit missing:
#   Rent, four rooms, Indianapolis, 1865
#   Board per week for men, Philadelphia, 1864
# They are not guessed at. Consult a better copy of page 467 or 468 to fill them.
#
# Re-transcribed 17 September 2026 from the page images.
commodity,unit,state,town,initial_price,1860,1861,1862,1863,1864,1865,1866,1867,1868
"Dry goods: cotton flannel, medium quality",per yard,Mass,Woburn,0.13,100,131,231,269,385,385,346,,
"Dry goods: cotton flannel, medium quality",per yard,Conn,Jewett City,.15,100,100,113,250,333,387,320,,
"Dry goods: cotton flannel, medium quality",per yard,Pa,New Castle,.125,100,120,200,360,440,400,240,,
"Dry goods: cotton flannel, medium quality",per yard,W. Va,New Cumberland,.14,100,179,286,357,429,429,357,,
"Dry goods: cotton flannel, medium quality",per yard,W. Va,Wheeling,.125,100,120,200,300,600,480,400,,
"Dry goods: cotton flannel, medium quality",per yard,Ohio,Canton,.125,100,96,300,400,600,520,400,,
"Dry goods: cotton flannel, medium quality",per yard,Ohio,Cincinnati,.125,100,100,100,120,200,300,200,,
"Dry goods: cotton flannel, medium quality",per yard,Ohio,Zanesville,.10,100,150,200,220,350,370,280,,
"Dry goods: cotton flannel, medium quality",per yard,Ind,Jeffersonville,.08 1/3,100,300,300,300,300,300,300,,
"Dry goods: cotton flannel, medium quality",per yard,Ind,Lawrenceburg,.125,100,100,200,360,720,600,600,,
"Dry goods: cotton flannel, medium quality",per yard,Ind,New Albany,.10,100,125,250,400,500,400,300,,
"Dry goods: cotton flannel, medium quality",per yard,Ill,Bloomington,.125,100,120,200,320,520,720,520,,
Dry goods: mousselines de laine,per yard,Mass,Woburn,0.33,100,100,91,91,100,115,106,,
Dry goods: mousselines de laine,per yard,Conn,Jewett City,.25,100,88,100,150,250,268,268,,
Dry goods: mousselines de laine,per yard,Pa,New Castle,.25,100,100,120,140,180,160,140,,
Dry goods: mousselines de laine,per yard,W. Va,New Cumberland,.15,100,200,267,400,467,467,267,,
Dry goods: mousselines de laine,per yard,W. Va,Wheeling,.25,100,124,150,160,240,200,150,,
Dry goods: mousselines de laine,per yard,Ohio,Canton,.25,100,100,120,160,200,150,120,,
Dry goods: mousselines de laine,per yard,Ohio,Cincinnati,.25,100,100,100,150,160,160,160,,
Dry goods: mousselines de laine,per yard,Ohio,Zanesville,.15,100,233,267,300,467,267,233,,
Dry goods: mousselines de laine,per yard,Ind,Evansville,.20,100,125,175,250,250,250,,,
Dry goods: mousselines de laine,per yard,Ind,Jeffersonville,.20,100,175,175,175,175,175,175,,
Dry goods: mousselines de laine,per yard,Ind,Lawrenceburg,.25,100,100,140,160,260,180,160,,
Dry goods: mousselines de laine,per yard,Ind,New Albany,.18,100,111,167,194,222,167,139,,
Dry goods: mousselines de laine,per yard,Ill,Bloomington,.25,100,100,100,140,140,160,120,,
"Dry goods: prints, Merrimack",per yard,Mass,Woburn,0.13,100,115,154,154,154,246,192,,
"Dry goods: prints, Merrimack",per yard,Conn,Jewett City,.125,100,100,112,176,240,300,264,,
"Dry goods: prints, Merrimack",per yard,Pa,New Castle,.125,100,100,144,200,300,280,200,,
"Dry goods: prints, Merrimack",per yard,W. Va,New Cumberland,.09,100,222,278,444,556,556,333,,
"Dry goods: prints, Merrimack",per yard,W. Va,Wheeling,.125,100,120,200,240,400,320,240,,
"Dry goods: prints, Merrimack",per yard,Ohio,Canton,.125,100,80,144,240,400,320,240,,
"Dry goods: prints, Merrimack",per yard,Ohio,Cincinnati,.125,100,80,100,120,240,300,360,,
"Dry goods: prints, Merrimack",per yard,Ohio,Zanesville,.125,100,96,120,176,320,240,200,,
"Dry goods: prints, Merrimack",per yard,Ind,Evansville,.10,100,100,150,250,500,450,300,,
"Dry goods: prints, Merrimack",per yard,Ind,Jeffersonville,.125,100,100,100,100,100,120,200,,
"Dry goods: prints, Merrimack",per yard,Ind,Lawrenceburg,.125,100,100,160,240,480,280,200,,
"Dry goods: prints, Merrimack",per yard,Ind,New Albany,.10,100,105,200,300,400,250,200,,
"Dry goods: prints, Merrimack",per yard,Ill,Bloomington,.125,100,100,200,240,360,440,320,,
"Dry goods: satinets, medium quality",per yard,Conn,Jewett City,0.75,100,100,133,166,177,177,173,,
"Dry goods: satinets, medium quality",per yard,Pa,New Castle,1.00,100,100,125,138,150,140,150,,
"Dry goods: satinets, medium quality",per yard,W. Va,New Cumberland,0.11,100,227,364,455,545,545,273,,
"Dry goods: satinets, medium quality",per yard,W. Va,Wheeling,.75,100,133,167,167,200,200,167,,
"Dry goods: satinets, medium quality",per yard,Ohio,Canton,.75,100,100,133,167,200,167,133,,
"Dry goods: satinets, medium quality",per yard,Ohio,Cincinnati,.75,100,100,107,113,120,133,133,,
"Dry goods: satinets, medium quality",per yard,Ohio,Zanesville,.40,100,100,150,250,213,163,150,,
"Dry goods: satinets, medium quality",per yard,Ind,Jeffersonville,.75,100,133,133,133,133,133,133,,
"Dry goods: satinets, medium quality",per yard,Ind,Lawrenceburg,.70,100,107,179,179,214,143,143,,
"Dry goods: satinets, medium quality",per yard,Ind,New Albany,.625,100,100,120,172,172,144,144,,
"Dry goods: satinets, medium quality",per yard,Ill,Bloomington,.75,100,87,100,133,133,167,133,,
"Dry goods: sheetings, bleached, 9x8, standard quality",per yard,Mass,Woburn,0.14,100,114,321,357,250,286,271,,
"Dry goods: sheetings, bleached, 9x8, standard quality",per yard,Pa,New Castle,.17,100,118,165,294,353,353,324,,
"Dry goods: sheetings, bleached, 9x8, standard quality",per yard,W. Va,New Cumberland,.10,100,200,350,450,500,600,500,,
"Dry goods: sheetings, bleached, 9x8, standard quality",per yard,W. Va,Wheeling,.15,100,107,233,333,533,400,300,,
"Dry goods: sheetings, bleached, 9x8, standard quality",per yard,Ohio,Canton,.15,100,100,250,367,533,467,367,,
"Dry goods: sheetings, bleached, 9x8, standard quality",per yard,Ohio,Cincinnati,.25,100,110,130,150,160,170,160,,
"Dry goods: sheetings, bleached, 9x8, standard quality",per yard,Ohio,Zanesville,.13,100,138,169,231,577,346,269,,
"Dry goods: sheetings, bleached, 9x8, standard quality",per yard,Ind,Lawrenceburg,.30,100,107,217,317,333,283,300,,
"Dry goods: sheetings, bleached, 9x8, standard quality",per yard,Ind,New Albany,.095,100,111,242,400,579,474,421,,
"Dry goods: sheetings, bleached, 9x8, standard quality",per yard,Ill,Bloomington,.15,100,133,200,300,400,433,300,,
"Dry goods: sheetings, brown, 9x8, standard quality",per yard,Mass,Woburn,0.13,100,115,308,346,308,346,308,,
"Dry goods: sheetings, brown, 9x8, standard quality",per yard,Pa,New Castle,.125,100,120,200,360,440,400,240,,
"Dry goods: sheetings, brown, 9x8, standard quality",per yard,W. Va,New Cumberland,.08,100,225,375,500,625,625,500,,
"Dry goods: sheetings, brown, 9x8, standard quality",per yard,W. Va,Wheeling,.125,100,120,240,360,600,400,320,,
"Dry goods: sheetings, brown, 9x8, standard quality",per yard,Ohio,Canton,.125,100,96,280,400,600,520,400,,
"Dry goods: sheetings, brown, 9x8, standard quality",per yard,Ohio,Cincinnati,.20,100,125,150,175,190,200,190,,
"Dry goods: sheetings, brown, 9x8, standard quality",per yard,Ohio,Zanesville,.13,100,138,169,231,562,308,269,,
"Dry goods: sheetings, brown, 9x8, standard quality",per yard,Ind,Jeffersonville,.15,100,167,167,167,167,167,167,,
"Dry goods: sheetings, brown, 9x8, standard quality",per yard,Ind,Lawrenceburg,.28,100,107,214,321,357,304,321,,
"Dry goods: sheetings, brown, 9x8, standard quality",per yard,Ind,New Albany,.0775,100,135,232,684,877,684,555,,
"Dry goods: sheetings, brown, 9x8, standard quality",per yard,Ill,Bloomington,.15,100,133,233,333,433,500,333,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,Mass,Woburn,0.125,100,104,320,360,280,240,240,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,Conn,Jewett City,.16,100,81,100,234,375,419,344,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,Pa,New Castle,.15,100,120,167,300,373,367,333,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,W. Va,New Cumberland,.08,100,225,375,500,625,625,500,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,W. Va,Wheeling,.10,100,150,300,400,800,500,400,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,Ohio,Canton,.125,100,120,240,400,600,480,360,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,Ohio,Cincinnati,.15,100,83,90,133,267,267,300,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,Ohio,Zanesville,.10,100,150,200,300,650,350,300,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,Ind,Evansville,.10,100,100,125,350,600,650,400,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,Ind,Jeffersonville,.125,100,120,160,280,440,600,528,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,Ind,Lawrenceburg,.125,100,120,176,360,600,360,320,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,Ind,New Albany,.085,100,112,235,412,588,471,412,,
"Dry goods: shirtings, bleached, 4x4, standard quality",per yard,Ill,Bloomington,.125,100,120,200,320,440,480,320,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,Mass,Woburn,0.11,100,100,318,409,227,227,227,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,Conn,Jewett City,.125,100,88,112,280,400,440,360,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,Pa,New Castle,.10,100,120,220,400,500,450,250,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,W. Va,New Cumberland,.06,100,250,417,500,667,667,500,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,W. Va,Wheeling,.10,100,125,250,400,750,500,400,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,Ohio,Canton,.09,110,111,222,556,833,556,444,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,Ohio,Cincinnati,.10,100,150,500,600,750,750,650,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,Ohio,Zanesville,.10,100,150,200,350,700,350,300,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,Ind,Evansville,.085,100,100,118,588,882,824,588,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,Ind,Jeffersonville,.10,100,150,200,300,500,750,600,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,Ind,Lawrenceburg,.08,100,113,225,563,813,500,500,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,Ind,New Albany,.0675,100,111,222,741,963,741,593,,
"Dry goods: shirtings, brown, 4x4, standard quality",per yard,Ill,Bloomington,.125,100,120,240,360,480,560,360,,
"Dry goods: tickings, good quality",per yard,Mass,Woburn,0.17,100,118,259,259,259,265,235,,
