# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 5: "Comparison of the Relative Prices of Twenty-Three Commodities at Wholesale and at Retail"
# Page 469. Relative prices (index, base=100).
commodity,channel,number_of_prices,1860,1861,1862,1863,1864,1865,1866
"Sheetings: brown, 4-4, Atlantic A.",wholesale,1,100,108,190,407,610,480,290
"Sheetings: brown, 4-4, Atlantic A.",retail,11,100,135,233,453,773,617,406
"Shirtings: bleached, 4-4, N.Y. Mills",wholesale,1,100,98,181,322,551,478,306
"Shirtings: bleached, 4-4, N.Y. Mills",retail,13,100,109,292,533,747,466,366
"Tickings: Amoskeag, A.C.A.",wholesale,12,100,98,151,352,464,383,274
"Tickings: Amoskeag, A.C.A.",retail,,100,109,178,273,377,290,228
"Flour: Rye",wholesale,,100,70,100,117,163,165,142
"Flour: Rye",retail,,100,92,88,131,178,205,223
"Meal: corn, yellow, kiln-dried",wholesale,,100,92,81,91,129,122,222
"Meal: corn, yellow, kiln-dried",retail,,100,117,118,174,184,172,156
"Beans",wholesale,1,100,100,143,190,138,153,161
"Beans",retail,9,100,122,167,136,160,160,176
"Rice: Carolina prime",wholesale,1,100,114,163,,,,
"Rice: Carolina prime",retail,,100,123,153,297,,277,274
"Sugar: Havana brown",wholesale,,100,85,108,125,,180,154
"Sugar: Havana brown",retail,,100,102,175,217,201,207,181
"Molasses: N.O. prime",wholesale,,100,85,90,110,149,190,146
"Molasses: N.O. prime",retail,0,100,104,141,192,235,265,229
"Molasses: Porto Rico, best",wholesale,1,100,88,105,133,225,195,185
"Molasses: Porto Rico, best",retail,9,100,92,95,115,169,164,154
"Starch: ordinary laundry",wholesale,1,100,92,115,130,164,154,380
"Starch: ordinary laundry",retail,,100,98,104,130,159,172,229
"Butter",wholesale,1,100,93,117,120,138,139,150
"Butter",retail,,100,81,96,117,155,183,190
"Cheese",wholesale,,100,90,97,120,138,139,150
"Cheese",retail,,100,96,97,115,137,157,190
"Eggs",wholesale,,100,85,90,119,130,165,166
"Eggs",retail,,100,53,52,88,138,142,,
"Mackerel: salt, shore, No. 1",wholesale,1,100,53,72,109,116,116,166
"Mackerel: salt, shore, No. 1",retail,7,100,87,177,185,196,184,191
"Beef",wholesale,35,100,108,113,129,158,167,,
"Beef",retail,,100,106,117,132,156,167,169
"Mutton",wholesale,,100,100,100,117,150,133,167
"Mutton",retail,17,100,108,107,172,156,175,163
"Pork: hams, sugar-cured",wholesale,1,100,80,107,105,257,177,163
"Pork: hams, sugar-cured",retail,,100,101,107,154,182,,182
"Pork: bacon, clear",wholesale,1,100,64,56,60,119,170,185
"Pork: bacon, clear",retail,,100,100,106,107,186,178,172
"Pork: salt meats",wholesale,1,100,92,96,129,188,172,,
"Pork: corned or salted",retail,6,100,114,116,127,191,197,,
"Lard",wholesale,2,100,81,66,88,133,138,172
"Lard",retail,9,100,80,100,118,166,167,,
"Coal: anthracite, store",wholesale,8,100,101,91,154,242,252,246
"Coal: anthracite, store",retail,,100,100,101,175,265,260,260
"Coal: bituminous",wholesale,1,100,95,130,150,191,211,178
"Coal: bituminous",retail,,100,100,171,215,262,266,196
"Average of relative prices",wholesale,,100,88,105,155,256,238,198
"Average of relative prices",retail,,100,107,129,165,271,214,202
