industry,location_number,state,occupation,sex,initial_wage_per_day,date,num_workers,relative_wage
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1860-01,1,100
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1860-01,2,100
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1860-01,2,100
Agricultural implements,1,Massachusetts,Painters,M,1.25,1860-01,1,100
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1860-01,3,100
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1860-07,1,100
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1860-07,2,100
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1860-07,2,100
Agricultural implements,1,Massachusetts,Painters,M,1.25,1860-07,1,100
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1860-07,2,103
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1861-01,1,100
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1861-01,2,100
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1861-01,2,108
Agricultural implements,1,Massachusetts,Painters,M,1.25,1861-01,1,100
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1861-01,2,103
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1861-07,1,99
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1861-07,2,100
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1861-07,2,108
Agricultural implements,1,Massachusetts,Painters,M,1.25,1861-07,1,100
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1861-07,1,94
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1862-01,1,99
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1862-01,2,88
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1862-01,2,100
Agricultural implements,1,Massachusetts,Painters,M,1.25,1862-01,1,100
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1862-01,1,113
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1862-07,1,98
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1862-07,1,100
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1862-07,1,84
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1862-07,1,113
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1863-01,1,108
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1863-01,3,90
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1863-01,1,113
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1863-01,2,113
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1863-07,1,112
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1863-07,5,112
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1863-07,2,101
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1863-07,2,119
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1864-01,1,122
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1864-01,2,117
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1864-01,2,108
Agricultural implements,1,Massachusetts,Painters,M,1.25,1864-01,3,89
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1864-01,4,124
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1864-07,1,152
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1864-07,3,142
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1864-07,3,123
Agricultural implements,1,Massachusetts,Painters,M,1.25,1864-07,2,106
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1864-07,3,161
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1865-01,1,152
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1865-01,3,150
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1865-01,3,125
Agricultural implements,1,Massachusetts,Painters,M,1.25,1865-01,2,113
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1865-01,4,169
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1865-07,1,175
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1865-07,7,161
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1865-07,3,138
Agricultural implements,1,Massachusetts,Painters,M,1.25,1865-07,2,127
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1865-07,4,189
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1866-01,1,175
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1866-01,6,163
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1866-01,6,131
Agricultural implements,1,Massachusetts,Painters,M,1.25,1866-01,3,124
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1866-01,5,191
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1866-07,1,183
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1866-07,5,169
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1866-07,5,134
Agricultural implements,1,Massachusetts,Painters,M,1.25,1866-07,1,120
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1866-07,5,179
"Ale, beer, and porter",2,New York,Foremen Laborers,M,1.34,1860-01,1,100
"Ale, beer, and porter",2,New York,Brewers,M,6.39,1860-01,1,100
"Ale, beer, and porter",2,New York,Coopers,M,1.505,1860-01,8,100
"Ale, beer, and porter",2,New York,Laborers,M,0.85,1860-01,26,100
"Ale, beer, and porter",2,New York,Teamsters,M,1.44,1860-01,4,100
"Ale, beer, and porter",2,New York,Foremen Laborers,M,1.34,1860-07,1,100
"Ale, beer, and porter",2,New York,Brewers,M,6.39,1860-07,1,100
"Ale, beer, and porter",2,New York,Coopers,M,1.505,1860-07,8,101
"Ale, beer, and porter",2,New York,Laborers,M,0.85,1860-07,28,99
"Ale, beer, and porter",2,New York,Teamsters,M,1.44,1860-07,3,107
"Ale, beer, and porter",2,New York,Foremen Laborers,M,1.34,1861-01,1,120
"Ale, beer, and porter",2,New York,Brewers,M,6.39,1861-01,1,100
"Ale, beer, and porter",2,New York,Coopers,M,1.505,1861-01,8,101
"Ale, beer, and porter",2,New York,Laborers,M,0.85,1861-01,32,99
"Ale, beer, and porter",2,New York,Teamsters,M,1.44,1861-01,3,107
"Ale, beer, and porter",2,New York,Foremen Laborers,M,1.34,1861-07,1,120
"Ale, beer, and porter",2,New York,Brewers,M,6.39,1861-07,1,100
"Ale, beer, and porter",2,New York,Coopers,M,1.505,1861-07,10,100
