# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix C, Table 1: "Wage-Series from Table XII of the Aldrich Report"
# Pages 470-520 (48 pages). Relative wages (index, initial period = 100).
#
# Semi-annual, January/July 1860-1866. Some series (marked in location_number with
# a preceding location prefix) include one observation before 1860: July 1859
# (buildings trades in NY) or January 1859 (building trades in PA). These
# observations from the source are preserved.
#
# Industries: Agricultural Implements, Ale/Beer/Porter, Books/Newspapers, Building
# Trades, Carriages and Wagons, City Public Works, Cotton Goods.
#
# Structure: one row per establishment × date combination. Each row carries:
# - location_number: numeric id of the establishment in the Aldrich Report
# - state: where it is located
# - occupation: job title
# - sex: M (male) or F (female)
# - initial_wage_per_day: the printed initial wage (unit implied by source)
# - date: January or July
# - num_workers: number of workers found in that establishment at that date
# - relative_wage: index relative to initial_wage_per_day
#
# PARTIAL: Staged pages 470-480 (11 pages) from October 2026 re-transcription.
# Remaining pages 481-520 (37 pages) not yet transcribed. This file is incomplete.
#
# Re-transcribed (partial) 17 September 2026 from the page images.
industry,location_number,state,occupation,sex,initial_wage_per_day,date,num_workers,relative_wage
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1860-01,1,100
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1860-01,2,100
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1860-01,2,100
Agricultural implements,1,Massachusetts,Painters,M,1.25,1860-01,1,100
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1860-01,3,100
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1860-07,1,100
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1860-07,2,100
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1860-07,2,100
Agricultural implements,1,Massachusetts,Painters,M,1.25,1860-07,1,100
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1860-07,2,103
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1861-01,1,100
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1861-01,2,100
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1861-01,2,108
Agricultural implements,1,Massachusetts,Painters,M,1.25,1861-01,1,100
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1861-01,2,103
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1861-07,1,99
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1861-07,2,100
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1861-07,2,108
Agricultural implements,1,Massachusetts,Painters,M,1.25,1861-07,1,100
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1861-07,1,94
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1862-01,1,99
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1862-01,2,88
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1862-01,2,100
Agricultural implements,1,Massachusetts,Painters,M,1.25,1862-01,1,100
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1862-01,1,113
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1862-07,1,98
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1862-07,1,100
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1862-07,1,84
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1862-07,1,113
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1863-01,1,108
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1863-01,3,90
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1863-01,1,113
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1863-01,2,113
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1863-07,1,112
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1863-07,5,112
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1863-07,2,101
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1863-07,2,119
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1864-01,1,122
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1864-01,2,117
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1864-01,2,108
Agricultural implements,1,Massachusetts,Painters,M,1.25,1864-01,3,89
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1864-01,4,124
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1864-07,1,152
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1864-07,3,142
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1864-07,3,123
Agricultural implements,1,Massachusetts,Painters,M,1.25,1864-07,2,106
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1864-07,3,161
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1865-01,1,152
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1865-01,3,150
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1865-01,3,125
Agricultural implements,1,Massachusetts,Painters,M,1.25,1865-01,2,113
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1865-01,4,169
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1865-07,1,175
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1865-07,7,161
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1865-07,3,138
Agricultural implements,1,Massachusetts,Painters,M,1.25,1865-07,2,127
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1865-07,4,189
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1866-01,1,175
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1866-01,6,163
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1866-01,6,131
Agricultural implements,1,Massachusetts,Painters,M,1.25,1866-01,3,124
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1866-01,5,191
Agricultural implements,1,Massachusetts,Foremen Woodwork's,M,1.64,1866-07,1,183
Agricultural implements,1,Massachusetts,Laborers,M,1.00,1866-07,5,169
Agricultural implements,1,Massachusetts,Machinists,M,1.665,1866-07,5,134
Agricultural implements,1,Massachusetts,Painters,M,1.25,1866-07,1,120
Agricultural implements,1,Massachusetts,Woodwork's,M,1.333,1866-07,5,179
"Ale, beer, and porter",2,New York,Foremen Laborers,M,1.34,1860-01,1,100
"Ale, beer, and porter",2,New York,Brewers,M,6.39,1860-01,1,100
"Ale, beer, and porter",2,New York,Coopers,M,1.505,1860-01,8,100
"Ale, beer, and porter",2,New York,Laborers,M,0.85,1860-01,26,100
