# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix C, Table 1 (Part 2): "Wage-Series from Table XII of the Aldrich Report"
# Pages 496-517. Relative wages (index, base=100).
# Source: historyofgreenba00mitcrich.pdf, pages 496-517
industry,location_number,state,occupation,sex,initial_wage_per_day,date,num_workers,relative_wage
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1860-01,1,100
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1860-07,1,100
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1861-01,1,100
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1861-07,1,100
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1862-01,1,100
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1862-07,1,100
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1863-01,1,106
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1863-07,1,106
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1864-01,1,120
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1864-07,1,120
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1865-01,1,120
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1865-07,1,120
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1866-01,1,150
Cotton Goods,38,Massachusetts,Mst'r Mechanics,M,3.33,1866-07,1,150
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1860-01,1,100
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1860-07,1,100
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1861-01,1,100
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1861-07,1,83
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1862-01,1,83
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1862-07,1,83
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1863-01,1,100
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1863-07,1,100
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1864-01,1,117
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1864-07,1,117
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1865-01,1,117
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1865-07,1,117
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1866-01,1,131
Cotton Goods,38,Massachusetts,Overseers Carding Dep't,M,3.0,1866-07,1,131
Cotton Goods,38,Massachusetts,Overseers Cloth Room,M,2.0,1860-01,1,100
Cotton Goods,38,Massachusetts,Overseers Cloth Room,M,2.0,1860-07,1,100
Cotton Goods,38,Massachusetts,Overseers Cloth Room,M,2.0,1861-01,1,84
Cotton Goods,38,Massachusetts,Overseers Cloth Room,M,2.0,1861-07,1,84
Cotton Goods,38,Massachusetts,Overseers Cloth Room,M,2.0,1862-01,1,84
Cotton Goods,38,Massachusetts,Overseers Cloth Room,M,2.0,1862-07,1,84
Cotton Goods,38,Massachusetts,Overseers Cloth Room,M,2.0,1863-01,1,100
Cotton Goods,38,Massachusetts,Overseers Cloth Room,M,2.0,1863-07,1,100
