# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix C, Table 2: "Wage-Series from Vol. XX of the Tenth Census"
# Pages 518-520. Relative wages (index, base=100).
industry,location,occupation,initial_wage_per_day,1860,1861,1862,1863,1864,1865,1866
Agricultural Implements,"Massillon, OH, 9",Blacksmith,1.50,100,100,117,133,140,150
Agricultural Implements,"Massillon, OH, 9",Finisher,1.62,100,100,115,133,125,154
Agricultural Implements,"Massillon, OH, 9",Laborers,0.90,100,111,122,133,139,167
Agricultural Implements,"Massillon, OH, 9",Molder,1.50,100,117,133,150,150,150
Agricultural Implements,"Massillon, OH, 9",Painter,1.50,100,100,117,133,133,133
Boots and Shoes,"Lafayette, IN, 16, 17",Overseer,60.00,100,125,125,125,150,225
Boots and Shoes,"Lafayette, IN, 16, 17",Cutter Sole,3.00,100,100,100,100,100,100
Boots and Shoes,"Lafayette, IN, 16, 17",Cutter Upper,4.00,100,100,100,100,100,100
Boots and Shoes,"Lafayette, IN, 16, 17",Fitter,2.50,100,100,100,100,100,100
Boots and Shoes,"Baltimore, MD, 19",Overseer,60.00,100,107,107,120,120,133
Boots and Shoes,"Baltimore, MD, 19",Buttoner or lacer,0.75,100,100,100,100,100,100
Boots and Shoes,"Baltimore, MD, 19",Cutter,1.50,100,100,117,125,125,150
Boots and Shoes,"Baltimore, MD, 19",Fitter,1.00,100,100,125,125,125,150
Boots and Shoes,"Baltimore, MD, 19",Packer,1.50,100,100,100,100,100,100
Boots and Shoes,"Baltimore, MD, 19",Treer,1.25,100,100,120,120,120,140
Boots and Shoes,"Mass., 20, 21",Cutter,1.33,100,132,132,150,150,201
Boots and Shoes,"Mass., 20, 21",Edge-setter,3.00,100,130,138,163,163,163
Boots and Shoes,"Mass., 20, 21",Fitter,0.50,100,200,200,250,250,400
Boots and Shoes,"Mass., 20, 21",Finisher,1.16,100,143,143,172,172,243
Boots and Shoes,"Mass., 20, 21",Treer,1.50,133,133,167,167,183,183
Boots and Shoes,"Mass., 20, 21",Packer,1.50,100,117,133,133,167,167
Boots and Shoes,"Mass., 20, 21",Trimmer,2.00,100,130,125,138,163,163
Breweries,"Columbus, OH, 25",Cellarman,1.15,100,117,133,167,200,200
Breweries,"Columbus, OH, 25",Laborers,0.76,100,126,151,201,228,228
Breweries,"Columbus, OH, 25",Maltster,1.15,100,117,133,167,200,200
Breweries,"Columbus, OH, 25",Teamster,0.96,100,129,140,150,180,180
Brick,"St. Louis, MO, 31",Boy,0.7825,100,,80,111,105,168,207
Brick,"St. Louis, MO, 31",Engineer,1.00,100,,100,120,196,211,201
Brick,"St. Louis, MO, 31",Laborers (1st),1.00,100,88,113,138,175,200,200
Brick,"St. Louis, MO, 31",Laborers (2d),1.25,100,60,60,80,120,140,140
Brick,"St. Louis, MO, 31",Molder,1.50,100,75,133,117,190,212,218
Brick,"Trenton, NJ, 33",Burner,1.62,100,100,100,100,154,154,154
Brick,"Trenton, NJ, 33",Carrier,0.75,100,100,100,100,133,133,133
Brick,"Trenton, NJ, 33",Molder,1.375,100,100,100,100,127,127,164
Brick,"Trenton, NJ, 33",Pit-filler,1.25,100,100,100,100,120,120,160
Brick,"Trenton, NJ, 33",Presser,1.25,100,100,100,100,120,120,140
