industry,location,state,number,occupation,initial_wage_per_day,date_1860,date_1861,date_1862,date_1863,date_1864,date_1865,date_1866
Agricultural Implements,Madison,O.,3,Blacksmith,1.50,100,100,100,117,133,140,150
Agricultural Implements,Madison,O.,3,Finisher,1.62,...,100,100,115,125,123,154
Agricultural Implements,Madison,O.,3,Laborers,0.90,100,100,111,122,122,130,167
Agricultural Implements,Madison,O.,3,Painter,1.50,...,100,100,100,117,133,133
Boots and Shoes,Lafayette,Ind.,18,Overseer,60.00,100,125,125,125,150,150,225
Boots and Shoes,Lafayette,Ind.,18,Cutter,Sole,4.00,100,100,100,100,100,100,100
Boots and Shoes,Lafayette,Ind.,18,Fitter,Upper,0.90,100,100,100,100,100,100,100
Boots and Shoes,Lafayette,Ind.,18,Fitter,Vamp,2.00,100,100,100,100,100,100,100
Boots and Shoes,Lafayette,Ind.,18,Packer,1.50,100,100,117,133,133,172,172
Boots and Shoes,Lafayette,Ind.,18,Trimmer,0.90,100,100,100,100,100,100,100
Boots and Shoes,Baltimore,Md.,19,Overseer,0.00,100,100,107,107,180,180,193
Boots and Shoes,Baltimore,Md.,19,Cutter,1.50,100,100,100,117,151,151,150
Boots and Shoes,Baltimore,Md.,19,Fitter,1.00,100,106,100,100,125,129,140
Boots and Shoes,Baltimore,Md.,19,Trimmer,1.25,100,100,100,100,121,121,140
Boots and Shoes,Baltimore,Md.,19,Packer,1.00,100,100,100,100,100,100,100
Flint Glass,Cambridge,Mass.,41,Manager,125.00,100,100,100,100,120,120,130
Flint Glass,Cambridge,Mass.,41,Blower,3.00,100,100,100,100,100,100,100
Flint Glass,Cambridge,Mass.,41,Clay tramper,1.50,100,100,100,100,100,100,100
Flint Glass,Cambridge,Mass.,41,Cutter,off,0.60,100,100,100,100,100,100,100
Flint Glass,Cambridge,Mass.,41,Cutter,on,1.00,100,100,100,100,100,100,100
Flint Glass,Cambridge,Mass.,41,Driver,1.50,100,100,117,117,117,117,117
Flint Glass,Cambridge,Mass.,41,Engineer,3.00,100,100,100,100,100,100,100
Flint Glass,Cambridge,Mass.,41,Gatherer,0.75,100,100,100,100,100,100,100
Flint Glass,Cambridge,Mass.,41,Finisher,1.00,100,100,200,200,200,300,330
Flint Glass,Cambridge,Mass.,41,Laborer,1.00,100,100,100,100,100,100,100
Flint Glass,Cambridge,Mass.,41,Molder,1.50,100,100,100,100,100,100,100
Flint Glass,Cambridge,Mass.,41,Pot filler,0.75,100,100,100,100,100,100,100
Flint Glass,Cambridge,Mass.,41,Potter,1.50,100,100,100,100,100,100,100
Flint Glass,Cambridge,Mass.,41,Presser,1.50,100,100,100,100,133,133,133
Flint Glass,Cambridge,Mass.,41,Sticker-up,0.75,100,100,100,100,100,100,100
Flint Glass,Cambridge,Mass.,41,Superintendent,6.00,100,100,100,100,100,100,100
Flint Glass,Pittsburgh,Pa.,42,Foreman cutter,50.00,100,100,100,100,100,100,143
Flint Glass,Pittsburgh,Pa.,42,Carrying-in boy,0.60,100,100,100,100,100,100,133
Flint Glass,Pittsburgh,Pa.,42,Cutter,cutter,6.50,100,100,100,100,100,100,108
Flint Glass,Pittsburgh,Pa.,42,Driver,2.00,100,100,100,100,100,100,100
Flint Glass,Pittsburgh,Pa.,42,Finisher,7.00,100,100,100,133,136,189,196
Flint Glass,Pittsburgh,Pa.,42,Gatherer,7.00,100,100,100,133,133,150,156
Flint Glass,Pittsburgh,Pa.,42,Miller,0.200,100,100,100,123,123,123,215
Flint Glass,Pittsburgh,Pa.,42,Mold maker,8.00,100,100,100,100,114,114,114
Flint Glass,Pittsburgh,Pa.,42,Potter,4.00,100,100,100,100,100,100,100
Flint Glass,Pittsburgh,Pa.,42,Pol maker,13.00,100,100,131,131,131,146,146
Flint Glass,Pittsburgh,Pa.,42,Presser,2.50,100,100,100,100,100,100,100
Flint Glass,Pittsburgh,Pa.,42,Toaster,0.50,100,100,100,115,115,115,202
Flint Glass,Wheeling,W. Va.,43,Manager,130.00,100,100,100,100,100,100,100
Flint Glass,Wheeling,W. Va.,43,Cutter,4.00,100,100,100,100,100,100,100
Flint Glass,Wheeling,W. Va.,43,Driver,1.16,100,100,86,115,128,128,128
Flint Glass,Wheeling,W. Va.,43,Finisher,6.00,100,100,100,100,100,100,100
Flint Glass,Wheeling,W. Va.,43,Gatherer,6.00,100,100,100,100,100,100,100
Flint Glass,Wheeling,W. Va.,43,Miser,0.916,100,100,100,177,145,145,154
Flint Glass,Wheeling,W. Va.,43,Mold maker,2.00,100,100,86,108,163,130,130
Flint Glass,Wheeling,W. Va.,43,Molten,1.50,100,100,100,100,100,100,100
Flint Glass,Wheeling,W. Va.,43,Pol filler,0.835,100,100,100,120,120,160,160
Flint Glass,Wheeling,W. Va.,43,Pol maker,1.50,100,100,100,100,242,242,242
Flint Glass,Wheeling,W. Va.,43,Pol maker,1.50,100,100,100,100,242,242,242
Flint Glass,Wheeling,W. Va.,43,Toaster,0.50,100,100,100,100,115,115,202
Gas and Gas Coke,Indianapolis,Ind.,58,Laborer,1.00,100,100,100,150,150,175,175
Gas and Gas Coke,Indianapolis,Ind.,58,Stoker,1.00,100,100,150,200,200,200,200
Gas and Gas Coke,East Boston,Mass.,77,Foreman,16.00,100,100,100,100,100,100,100
Gas and Gas Coke,East Boston,Mass.,77,Laborer,14.00,100,100,100,100,100,100,100
Iron Blast Furnaces - Anthracite,Peoria,Ill.,130,Blacksmith,1.00,100,100,100,125,125,175,175
Iron Blast Furnaces - Anthracite,Peoria,Ill.,130,Hodsman,1.00,100,100,100,125,125,175,175
Iron Blast Furnaces - Anthracite,New York,115,Manager,185.00,100,100,100,100,140,140,140
Iron Blast Furnaces - Anthracite,New York,115,Blacksmith,4.50,100,91,100,100,119,145,180
Iron Blast Furnaces - Anthracite,New York,115,Blacksmith's help,1.50,100,91,100,100,119,145,150
Iron Blast Furnaces - Anthracite,New York,115,Caster,1.50,100,91,100,100,119,145,124
Iron Blast Furnaces - Anthracite,New York,115,Cinder man,1.25,100,91,100,100,119,145,125
