# Index of the General Price Level for United States
# National Bureau of Economic Research, Index of the General Price Level for United States
# [M04051USM324NNBR], retrieved from FRED, Federal Reserve Bank of St. Louis,
# https://fred.stlouisfed.org/series/M04051USM324NNBR
#
# Units: Index, 1913 = 100, not seasonally adjusted
# Frequency: monthly, dated to the first of the month
# Coverage: 1860-01 to 1939-11, 959 observations
#
# Weighted index combining industrial prices (10), farm prices (10), retail
# food in 51 cities (10), rents in 32 cities (5), clothing and furnishings
# (10), transportation (5), real estate (10), securities (10), equipment
# (10), hardware (3), automobiles (2) and Federal Reserve wages (15).
#
# Redistributed under FRED's citation requirement. Not my transcription,
# and not covered by this repository's CC0 grant.
date,general_price_index
1860-01,72
1860-02,72
1860-03,72
1860-04,71
1860-05,71
1860-06,70
1860-07,71
1860-08,71
1860-09,71
1860-10,72
1860-11,72
1860-12,71
1861-01,71
1861-02,70
1861-03,70
1861-04,69
1861-05,69
1861-06,68
1861-07,67
1861-08,68
1861-09,68
1861-10,70
1861-11,72
1861-12,73
1862-01,75
1862-02,76
1862-03,75
1862-04,75
1862-05,74
1862-06,74
1862-07,76
1862-08,80
1862-09,81
1862-10,83
1862-11,88
1862-12,90
1863-01,91
1863-02,96
1863-03,98
1863-04,97
1863-05,94
1863-06,93
1863-07,94
1863-08,94
1863-09,93
1863-10,98
1863-11,102
1863-12,105
1864-01,108
1864-02,111
1864-03,114
1864-04,118
1864-05,121
1864-06,128
1864-07,142
1864-08,145
1864-09,146
1864-10,137
1864-11,141
1864-12,145
1865-01,144
1865-02,141
1865-03,136
1865-04,124
1865-05,119
1865-06,115
1865-07,116
1865-08,119
1865-09,124
1865-10,129
1865-11,129
1865-12,127
1866-01,126
1866-02,124
1866-03,123
1866-04,119
1866-05,121
1866-06,122
1866-07,123
1866-08,124
1866-09,123
1866-10,126
1866-11,124
1866-12,121
1867-01,120
1867-02,119
1867-03,118
1867-04,119
1867-05,120
1867-06,116
1867-07,115
1867-08,120
1867-09,115
1867-10,115
1867-11,114
1867-12,113
1868-01,113
1868-02,114
1868-03,116
1868-04,117
1868-05,116
1868-06,114
1868-07,113
1868-08,114
1868-09,113
1868-10,112
1868-11,112
1868-12,112
1869-01,112
1869-02,113
1869-03,112
1869-04,111
1869-05,110
1869-06,109
1869-07,109
1869-08,112
1869-09,111
1869-10,109
1869-11,109
1869-12,108
1870-01,105
1870-02,104
1870-03,102
1870-04,102
1870-05,103
1870-06,102
1870-07,102
1870-08,101
1870-09,101
1870-10,101
1870-11,100
1870-12,99
1871-01,100
1871-02,102
1871-03,103
1871-04,100
1871-05,99
1871-06,98
1871-07,98
1871-08,97
1871-09,98
1871-10,99
1871-11,99
1871-12,100
1872-01,100
1872-02,100
1872-03,101
1872-04,103
1872-05,103
1872-06,102
1872-07,101
1872-08,102
1872-09,102
1872-10,101
1872-11,103
1872-12,102
1873-01,102
1873-02,103
1873-03,103
1873-04,103
1873-05,101
1873-06,99
1873-07,99
1873-08,99
