# Index of Wholesale Prices, Variable Group Weights for United States
# National Bureau of Economic Research, Index of Wholesale Prices, Variable Group Weights for United States
# [M0448AUSM323NNBR], retrieved from FRED, Federal Reserve Bank of St. Louis,
# https://fred.stlouisfed.org/series/M0448AUSM323NNBR
#
# Units: Index, 1910-1914 = 100, not seasonally adjusted
# Frequency: monthly, dated to the first of the month
# Coverage: 1850-01 to 1894-12, 540 observations
#
# Compiled from G. F. Warren and F. A. Pearson, *Prices* (1933), 12-13.
# NBER Macrohistory series m04048a, chapter 4.
#
# Redistributed under FRED's citation requirement. Not my transcription,
# and not covered by this repository's CC0 grant.
date,wholesale_price_index
1850-01,83
1850-02,84
1850-03,85
1850-04,84
1850-05,84
1850-06,84
1850-07,84
1850-08,83
1850-09,83
1850-10,84
1850-11,85
1850-12,85
1851-01,87
1851-02,87
1851-03,86
1851-04,85
1851-05,84
1851-06,82
1851-07,81
1851-08,81
1851-09,81
1851-10,81
1851-11,81
1851-12,81
1852-01,83
1852-02,85
1852-03,87
1852-04,86
1852-05,86
1852-06,86
1852-07,88
1852-08,90
1852-09,91
1852-10,91
1852-11,93
1852-12,95
1853-01,96
1853-02,97
1853-03,97
1853-04,95
1853-05,94
1853-06,93
1853-07,93
1853-08,95
1853-09,97
1853-10,101
1853-11,102
1853-12,103
1854-01,105
1854-02,112
1854-03,109
1854-04,109
1854-05,109
1854-06,110
1854-07,106
1854-08,108
1854-09,110
1854-10,105
1854-11,108
1854-12,107
1855-01,107
1855-02,107
1855-03,109
1855-04,111
1855-05,114
1855-06,115
1855-07,109
1855-08,109
1855-09,109
1855-10,109
1855-11,111
1855-12,112
1856-01,108
1856-02,107
1856-03,106
1856-04,105
1856-05,102
1856-06,99
1856-07,102
1856-08,104
1856-09,103
1856-10,105
1856-11,107
1856-12,108
1857-01,111
1857-02,113
1857-03,115
1857-04,114
1857-05,115
1857-06,114
1857-07,114
1857-08,115
1857-09,114
1857-10,106
1857-11,101
1857-12,98
1858-01,93
1858-02,93
1858-03,95
1858-04,95
1858-05,94
1858-06,92
1858-07,92
1858-08,94
1858-09,94
1858-10,94
1858-11,92
1858-12,93
1859-01,95
1859-02,99
1859-03,99
1859-04,98
1859-05,97
1859-06,97
1859-07,95
1859-08,92
1859-09,91
1859-10,90
1859-11,92
1859-12,93
1860-01,94
1860-02,94
1860-03,94
1860-04,93
1860-05,93
1860-06,91
1860-07,92
1860-08,92
1860-09,92
1860-10,93
1860-11,93
1860-12,91
1861-01,92
1861-02,90
1861-03,90
1861-04,89
1861-05,88
1861-06,85
1861-07,83
1861-08,85
1861-09,86
1861-10,89
1861-11,92
1861-12,94
1862-01,98
1862-02,99
1862-03,98
1862-04,98
1862-05,95
1862-06,94
1862-07,98
1862-08,105
1862-09,107
1862-10,111
1862-11,120
1862-12,123
1863-01,126
1863-02,137
1863-03,141
1863-04,137
1863-05,130
1863-06,126
1863-07,127
1863-08,127
1863-09,123
1863-10,134
1863-11,142
1863-12,148
1864-01,153
1864-02,156
1864-03,161
1864-04,168
1864-05,174
1864-06,189
1864-07,219
1864-08,225
1864-09,225
1864-10,207
1864-11,216
1864-12,222
1865-01,223
1865-02,217
1865-03,206
1865-04,179
1865-05,169
1865-06,159
1865-07,161
1865-08,168
1865-09,179
1865-10,190
1865-11,189
1865-12,184
1866-01,181
1866-02,176
1866-03,173
1866-04,166
1866-05,171
1866-06,172
1866-07,174
1866-08,175
1866-09,174
1866-10,179
1866-11,175
1866-12,169
1867-01,168
1867-02,167
1867-03,166
1867-04,167
1867-05,168
1867-06,159
1867-07,158
1867-08,168
1867-09,158
1867-10,159
1867-11,156
1867-12,155
1868-01,157
1868-02,158
1868-03,163
1868-04,165
1868-05,163
1868-06,158
1868-07,157
1868-08,158
1868-09,157
1868-10,154
1868-11,153
1868-12,153
1869-01,155
1869-02,157
1869-03,154
1869-04,151
1869-05,149
1869-06,147
1869-07,148
1869-08,153
1869-09,152
1869-10,149
1869-11,149
1869-12,147
1870-01,142
1870-02,138
1870-03,135
1870-04,134
1870-05,136
1870-06,135
1870-07,135
1870-08,134
1870-09,134
1870-10,133
1870-11,131
1870-12,128
1871-01,131
1871-02,135
1871-03,137
1871-04,132
1871-05,129
1871-06,127
1871-07,127
1871-08,125
1871-09,128
1871-10,130
1871-11,130
1871-12,133
1872-01,133
1872-02,133
1872-03,135
1872-04,138
1872-05,138
1872-06,137
1872-07,135
1872-08,136
1872-09,137
1872-10,134
1872-11,138
1872-12,136
1873-01,136
1873-02,139
1873-03,139
1873-04,139
1873-05,136
1873-06,132
1873-07,132
1873-08,132
1873-09,132
1873-10,129
1873-11,125
1873-12,128
1874-01,130
1874-02,130
1874-03,130
1874-04,128
1874-05,127
1874-06,124
1874-07,125
1874-08,124
1874-09,124
1874-10,122
1874-11,121
1874-12,121
1875-01,121
1875-02,121
1875-03,121
1875-04,122
1875-05,119
1875-06,117
1875-07,117
1875-08,118
1875-09,117
1875-10,117
1875-11,116
1875-12,115
1876-01,114
1876-02,114
1876-03,114
1876-04,113
1876-05,109
1876-06,106
1876-07,106
1876-08,107
1876-09,108
1876-10,110
1876-11,111
1876-12,113
1877-01,115
1877-02,112
1877-03,107
1877-04,110
1877-05,112
1877-06,106
1877-07,107
1877-08,103
1877-09,102
1877-10,102
1877-11,100
1877-12,100
1878-01,97
1878-02,96
1878-03,94
1878-04,93
1878-05,90
1878-06,88
1878-07,89
1878-08,90
1878-09,90
1878-10,89
1878-11,88
1878-12,86
1879-01,87
1879-02,88
1879-03,87
1879-04,86
1879-05,86
1879-06,85
1879-07,86
1879-08,86
1879-09,89
1879-10,94
1879-11,99
1879-12,102
1880-01,105
1880-02,105
1880-03,106
1880-04,102
1880-05,99
1880-06,97
1880-07,97
1880-08,97
1880-09,98
1880-10,98
1880-11,99
1880-12,100
1881-01,99
1881-02,100
1881-03,100
1881-04,101
1881-05,100
1881-06,100
1881-07,101
1881-08,103
1881-09,107
1881-10,108
1881-11,107
1881-12,107
1882-01,107
1882-02,108
1882-03,108
1882-04,109
1882-05,110
1882-06,111
1882-07,110
1882-08,111
1882-09,108
1882-10,107
1882-11,106
1882-12,105
1883-01,105
1883-02,106
1883-03,105
1883-04,104
1883-05,103
1883-06,100
1883-07,98
1883-08,98
1883-09,97
1883-10,97
1883-11,96
1883-12,97
1884-01,97
1884-02,97
1884-03,97
1884-04,95
1884-05,93
1884-06,93
1884-07,92
1884-08,92
1884-09,91
1884-10,90
1884-11,88
1884-12,87
1885-01,87
1885-02,88
1885-03,86
1885-04,87
1885-05,85
1885-06,83
1885-07,84
1885-08,84
1885-09,83
1885-10,83
1885-11,84
1885-12,86
1886-01,84
1886-02,84
1886-03,83
1886-04,82
1886-05,80
1886-06,79
1886-07,80
1886-08,81
1886-09,81
1886-10,81
1886-11,81
1886-12,82
1887-01,84
1887-02,85
1887-03,85
1887-04,85
1887-05,85
1887-06,84
1887-07,83
1887-08,84
1887-09,83
1887-10,84
1887-11,85
1887-12,87
1888-01,88
1888-02,87
1888-03,87
1888-04,86
1888-05,85
1888-06,84
1888-07,85
1888-08,85
1888-09,85
1888-10,86
1888-11,87
1888-12,87
1889-01,84
1889-02,83
1889-03,82
1889-04,82
1889-05,80
1889-06,80
1889-07,80
1889-08,80
1889-09,81
1889-10,81
1889-11,81
1889-12,82
1890-01,80
1890-02,80
1890-03,80
1890-04,80
1890-05,81
1890-06,81
1890-07,81
1890-08,84
1890-09,85
1890-10,85
1890-11,83
1890-12,83
1891-01,82
1891-02,83
1891-03,84
1891-04,85
1891-05,84
1891-06,82
1891-07,81
1891-08,81
1891-09,80
1891-10,80
1891-11,79
1891-12,79
1892-01,77
1892-02,77
1892-03,75
1892-04,74
1892-05,74
1892-06,74
1892-07,76
1892-08,77
1892-09,77
1892-10,77
1892-11,79
1892-12,80
1893-01,83
1893-02,84
1893-03,82
1893-04,81
1893-05,80
1893-06,78
1893-07,76
1893-08,73
1893-09,76
1893-10,77
1893-11,75
1893-12,74
1894-01,72
1894-02,71
1894-03,69
1894-04,69
1894-05,69
1894-06,69
1894-07,69
1894-08,71
1894-09,72
1894-10,70
1894-11,70
1894-12,69
