# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 1, Part A: "Relative Prices of Farm Products — Individual Series"
# Pages 429-433. Relative prices (index, 1860 average = 100).
#
# Quarterly, January/April/July/October, 1860-1866. Mitchell prints the 38 series in
# five blocks across five pages, each block covering a different span of dates; they
# share one date index and are merged here.
#
# Columns are commodity_city. The cities are the markets Mitchell quotes: New York,
# Chicago and Cincinnati. Not every commodity is quoted in every market, and coverage
# is ragged — 46 of the 1,064 cells are printed "..." and are left blank here.
#
# Part B of the same table, the averages across these series, is in
# mitchell_appendix_b_table1b_averages.csv.
#
# Re-transcribed 17 September 2026 from the page images.
#
# DERIVED from ../mitchell_appendix_b_table1a_farm_individual.csv by analysis/03_build_tidy.py. Do not edit.
date,series,relative_price
1860-01,barley_new_york,103
1860-01,barley_chicago,101
1860-01,barley_cincinnati,84
1860-01,clover_seed_new_york,103
1860-01,clover_seed_chicago,99
1860-01,corn_new_york,122
1860-01,corn_cincinnati,107
1860-01,flax_seed_new_york,98
1860-01,flax_seed_cincinnati,100
1860-01,hides_cincinnati,100
1860-01,hides_chicago,91
1860-01,hides_new_york,100
1860-01,meat_beeves_cincinnati,103
1860-01,meat_beeves_new_york,103
1860-01,meat_beeves_chicago,97
1860-01,meat_sheep_new_york,101
1860-01,meat_sheep_cincinnati,110
1860-01,meat_pork_chicago,91
1860-01,meat_pork_cincinnati,121
1860-01,meat_pork_new_york,90
1860-01,oats_new_york,111
1860-01,oats_cincinnati,119
1860-01,rye_cincinnati,113
1860-01,rye_new_york,107
1860-01,timothy_seed_cincinnati,87
1860-01,timothy_seed_chicago,83
1860-01,timothy_seed_new_york,94
1860-01,tobacco_leaf_average_cincinnati,100
1860-01,tobacco_leaf_fine_cincinnati,100
1860-01,tobacco_wrappers_ohio_new_york,100
1860-01,tobacco_wrappers_pennsylvania_new_york,100
1860-01,tobacco_wrappers_connecticut_new_york,126
1860-01,tobacco_leaf_kentucky_new_york,112
1860-01,wheat_winter_new_york,102
1860-01,wheat_spring_new_york,105
1860-01,wheat_prime_cincinnati,103
1860-01,wheat_no2_winter_chicago,99
1860-01,wheat_no2_spring_chicago,99
1860-04,barley_new_york,100
1860-04,barley_chicago,117
1860-04,barley_cincinnati,109
1860-04,clover_seed_new_york,94
1860-04,clover_seed_chicago,88
1860-04,corn_new_york,97
1860-04,corn_cincinnati,95
1860-04,flax_seed_new_york,102
1860-04,flax_seed_cincinnati,100
1860-04,hides_cincinnati,107
1860-04,hides_chicago,100
1860-04,hides_new_york,103
1860-04,meat_beeves_cincinnati,117
1860-04,meat_beeves_new_york,108
1860-04,meat_beeves_chicago,113
1860-04,meat_sheep_new_york,110
1860-04,meat_sheep_cincinnati,138
1860-04,meat_pork_chicago,100
1860-04,meat_pork_cincinnati,101
1860-04,meat_pork_new_york,97
1860-04,oats_new_york,103
1860-04,oats_cincinnati,106
1860-04,rye_cincinnati,119
1860-04,rye_new_york,100
1860-04,timothy_seed_cincinnati,121
1860-04,timothy_seed_chicago,113
1860-04,timothy_seed_new_york,110
1860-04,tobacco_leaf_average_cincinnati,100
1860-04,tobacco_leaf_fine_cincinnati,100
1860-04,tobacco_wrappers_ohio_new_york,100
1860-04,tobacco_wrappers_pennsylvania_new_york,100
1860-04,tobacco_wrappers_connecticut_new_york,91
1860-04,tobacco_leaf_kentucky_new_york,98
1860-04,wheat_winter_new_york,105
1860-04,wheat_spring_new_york,98
1860-04,wheat_prime_cincinnati,110
1860-04,wheat_no2_winter_chicago,105
1860-04,wheat_no2_spring_chicago,105
1860-07,barley_chicago,93
1860-07,barley_cincinnati,98
1860-07,clover_seed_chicago,99
1860-07,corn_new_york,87
1860-07,corn_cincinnati,97
1860-07,flax_seed_new_york,101
1860-07,flax_seed_cincinnati,100
1860-07,hides_cincinnati,107
1860-07,hides_chicago,106
1860-07,hides_new_york,103
1860-07,meat_beeves_cincinnati,90
1860-07,meat_beeves_new_york,92
1860-07,meat_beeves_chicago,105
1860-07,meat_sheep_new_york,92
1860-07,meat_sheep_cincinnati,83
1860-07,meat_pork_chicago,101
1860-07,meat_pork_cincinnati,62
1860-07,meat_pork_new_york,107
1860-07,oats_new_york,95
1860-07,oats_cincinnati,101
1860-07,rye_cincinnati,87
