# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 1, Part B: "Averages for the Several Products"
# Pages 433-434. Relative prices (index, 1860 average = 100).
#
# Quarterly, January/April/July/October, 1860-1866. Mitchell splits the thirteen
# products across two blocks for typographic reasons and breaks the first block over
# two pages; the date index is identical, so they are one table here.
#
# Re-transcribed 17 September 2026 from the page images.
#
# DERIVED from ../mitchell_appendix_b_table1b_averages.csv by analysis/03_build_tidy.py. Do not edit.
date,product,relative_price
1860-01,barley,96
1860-01,clover_seed,101
1860-01,corn,115
1860-01,flax_seed,99
1860-01,hides,97
1860-01,meat_beeves,101
1860-01,meat_sheep,106
1860-01,meat_pork,101
1860-01,oats,115
1860-01,rye,110
1860-01,timothy_seed,88
1860-01,tobacco,106
1860-01,wheat,102
1860-04,barley,109
1860-04,clover_seed,91
1860-04,corn,96
1860-04,flax_seed,101
1860-04,hides,103
1860-04,meat_beeves,113
1860-04,meat_sheep,124
1860-04,meat_pork,99
1860-04,oats,105
1860-04,rye,110
1860-04,timothy_seed,115
1860-04,tobacco,98
1860-04,wheat,105
1860-07,barley,96
1860-07,clover_seed,99
1860-07,corn,92
1860-07,flax_seed,101
1860-07,hides,105
1860-07,meat_beeves,96
1860-07,meat_sheep,88
1860-07,meat_pork,90
1860-07,oats,98
1860-07,rye,93
1860-07,timothy_seed,116
1860-07,tobacco,95
1860-07,wheat,102
1860-10,barley,98
1860-10,clover_seed,109
1860-10,corn,98
1860-10,flax_seed,100
1860-10,hides,94
1860-10,meat_beeves,91
1860-10,meat_sheep,83
1860-10,meat_pork,113
1860-10,oats,83
1860-10,rye,88
1860-10,timothy_seed,92
1860-10,tobacco,98
1860-10,wheat,92
1861-01,barley,82
1861-01,clover_seed,103
1861-01,corn,84
1861-01,flax_seed,101
1861-01,hides,77
1861-01,meat_beeves,102
1861-01,meat_sheep,120
1861-01,meat_pork,96
1861-01,oats,77
1861-01,rye,70
1861-01,timothy_seed,94
1861-01,tobacco,99
1861-01,wheat,90
1861-04,barley,79
1861-04,clover_seed,90
1861-04,corn,78
1861-04,flax_seed,96
1861-04,hides,83
1861-04,meat_beeves,102
1861-04,meat_sheep,112
1861-04,meat_pork,89
1861-04,oats,72
1861-04,rye,70
1861-04,timothy_seed,156
1861-04,tobacco,97
1861-04,wheat,92
1861-07,barley,62
1861-07,clover_seed,90
1861-07,corn,61
1861-07,flax_seed,91
1861-07,hides,61
1861-07,meat_beeves,92
1861-07,meat_sheep,67
1861-07,meat_pork,61
1861-07,oats,65
1861-07,rye,52
1861-07,timothy_seed,101
1861-07,tobacco,90
1861-07,wheat,66
1861-10,barley,64
1861-10,clover_seed,92
1861-10,corn,66
1861-10,flax_seed,95
1861-10,hides,80
1861-10,meat_beeves,86
1861-10,meat_sheep,71
1861-10,meat_pork,58
1861-10,oats,71
1861-10,rye,62
1861-10,timothy_seed,62
1861-10,tobacco,96
1861-10,wheat,81
1862-01,barley,70
1862-01,clover_seed,85
1862-01,corn,73
1862-01,flax_seed,115
1862-01,hides,78
1862-01,meat_beeves,86
1862-01,meat_sheep,98
1862-01,meat_pork,58
1862-01,oats,84
1862-01,rye,75
1862-01,timothy_seed,66
1862-01,tobacco,111
1862-01,wheat,84
1862-04,barley,91
1862-04,clover_seed,102
1862-04,corn,74
1862-04,flax_seed,138
1862-04,hides,87
1862-04,meat_beeves,95
1862-04,meat_sheep,110
1862-04,meat_pork,64
1862-04,oats,83
1862-04,rye,79
1862-04,timothy_seed,71
1862-04,tobacco,113
1862-04,wheat,85
1862-07,barley,91
1862-07,clover_seed,86
1862-07,corn,74
1862-07,flax_seed,129
1862-07,hides,87
1862-07,meat_beeves,91
1862-07,meat_sheep,85
1862-07,meat_pork,50
1862-07,oats,94
1862-07,rye,72
1862-07,timothy_seed,67
1862-07,tobacco,122
1862-07,wheat,78
1862-10,barley,107
1862-10,clover_seed,96
1862-10,corn,82
1862-10,flax_seed,120
1862-10,hides,99
1862-10,meat_beeves,83
1862-10,meat_sheep,102
1862-10,meat_pork,62
1862-10,oats,119
1862-10,rye,71
1862-10,timothy_seed,66
1862-10,tobacco,168
1862-10,wheat,85
1863-01,barley,161
1863-01,clover_seed,125
1863-01,corn,100
1863-01,flax_seed,188
1863-01,hides,110
1863-01,meat_beeves,93
1863-01,meat_sheep,97
1863-01,meat_pork,76
1863-01,oats,147
1863-01,rye,88
1863-01,timothy_seed,83
1863-01,tobacco,183
1863-01,wheat,94
1863-04,barley,187
1863-04,clover_seed,112
1863-04,corn,130
1863-04,flax_seed,239
1863-04,hides,115
1863-04,meat_beeves,131
1863-04,meat_sheep,159
1863-04,meat_pork,83
1863-04,oats,187
1863-04,rye,120
1863-04,timothy_seed,73
1863-04,tobacco,228
1863-04,wheat,111
1863-07,barley,195
1863-07,clover_seed,120
1863-07,corn,109
1863-07,flax_seed,165
1863-07,hides,115
1863-07,meat_beeves,115
1863-07,meat_sheep,101
1863-07,meat_pork,79
1863-07,oats,167
1863-07,rye,103
1863-07,timothy_seed,94
1863-07,tobacco,216
1863-07,wheat,99
1863-10,barley,172
1863-10,clover_seed,135
1863-10,corn,151
1863-10,flax_seed,174
1863-10,hides,127
1863-10,meat_beeves,100
1863-10,meat_sheep,109
1863-10,meat_pork,72
1863-10,oats,171
1863-10,rye,122
1863-10,timothy_seed,95
1863-10,tobacco,196
1863-10,wheat,99
1864-01,barley,191
1864-01,clover_seed,152
1864-01,corn,193
1864-01,flax_seed,217
1864-01,hides,135
1864-01,meat_beeves,118
1864-01,meat_sheep,141
1864-01,meat_pork,115
1864-01,oats,215
1864-01,rye,153
1864-01,timothy_seed,111
1864-01,tobacco,212
1864-01,wheat,113
1864-04,barley,184
1864-04,clover_seed,161
1864-04,corn,195
1864-04,flax_seed,230
1864-04,hides,145
1864-04,meat_beeves,155
1864-04,meat_sheep,190
1864-04,meat_pork,145
1864-04,oats,205
1864-04,rye,150
1864-04,timothy_seed,106
1864-04,tobacco,238
1864-04,wheat,121
1864-07,barley,233
