# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 4: "Relative Prices of Various Commodities at Retail"
# Pages 451-468. Relative prices (index, first year quoted = 100).
#
# 556 series across 60 commodity blocks, each block a commodity quoted in a set of
# towns. Annual, 1860-1866. Blank cells are printed "..." in the source: most often
# a town whose series begins in 1861 rather than 1860.
#
# THE 1867 AND 1868 COLUMNS APPLY ONLY TO RENTS. Mitchell's note to the table: "In
# the case of rent figures are given for 1867 and 1868 for the purposes of Part II,
# chap. vi." Every other block stops at 1866, so those two columns are blank for all
# but the two rent blocks.
#
# Mitchell's note on the source: "The source of the following series of relative
# prices at retail is the report prepared by Mr. J. D. Weeks in 1880-83 and published
# as Vol. XX of the Tenth Census. Not all of the material supplied by Mr. Weeks,
# however, has been used, for he gives some series of prices at unspecified times of
# the year and others 'on or about June 1.' Those series 'showing average for the
# year' alone were used as the basis for the computations in the text, and they alone
# are given here."
#
# initial_price is Mitchell's "Initial Price" column, in the unit named by the unit
# column. Fractions are kept as printed, e.g. "0.08 1/3".
#
# TWO CELLS ARE LEFT BLANK BECAUSE THE PRINTING IS DEFECTIVE, not because the source
# has no figure. Both read as "1 9" or "1 3" with the middle digit missing:
#   Rent, four rooms, Indianapolis, 1865
#   Board per week for men, Philadelphia, 1864
# They are not guessed at. Consult a better copy of page 467 or 468 to fill them.
#
# Re-transcribed 17 September 2026 from the page images.
#
# DERIVED from ../mitchell_appendix_b_table4_retail_prices.csv by analysis/03_build_tidy.py. Do not edit.
commodity,unit,state,town,initial_price,year,relative_price
"Dry goods: cotton flannel, medium quality",per yard,Mass,Woburn,0.13,1860,100
"Dry goods: cotton flannel, medium quality",per yard,Mass,Woburn,0.13,1861,131
"Dry goods: cotton flannel, medium quality",per yard,Mass,Woburn,0.13,1862,231
"Dry goods: cotton flannel, medium quality",per yard,Mass,Woburn,0.13,1863,269
"Dry goods: cotton flannel, medium quality",per yard,Mass,Woburn,0.13,1864,385
"Dry goods: cotton flannel, medium quality",per yard,Mass,Woburn,0.13,1865,385
"Dry goods: cotton flannel, medium quality",per yard,Mass,Woburn,0.13,1866,346
"Dry goods: cotton flannel, medium quality",per yard,Conn,Jewett City,.15,1860,100
"Dry goods: cotton flannel, medium quality",per yard,Conn,Jewett City,.15,1861,100
"Dry goods: cotton flannel, medium quality",per yard,Conn,Jewett City,.15,1862,113
"Dry goods: cotton flannel, medium quality",per yard,Conn,Jewett City,.15,1863,250
"Dry goods: cotton flannel, medium quality",per yard,Conn,Jewett City,.15,1864,333
"Dry goods: cotton flannel, medium quality",per yard,Conn,Jewett City,.15,1865,387
"Dry goods: cotton flannel, medium quality",per yard,Conn,Jewett City,.15,1866,320
"Dry goods: cotton flannel, medium quality",per yard,Pa,New Castle,.125,1860,100
"Dry goods: cotton flannel, medium quality",per yard,Pa,New Castle,.125,1861,120
"Dry goods: cotton flannel, medium quality",per yard,Pa,New Castle,.125,1862,200
"Dry goods: cotton flannel, medium quality",per yard,Pa,New Castle,.125,1863,360
"Dry goods: cotton flannel, medium quality",per yard,Pa,New Castle,.125,1864,440
