# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 5: "Comparison of the Relative Prices of Twenty-Three Commodities
# at Wholesale and at Retail"
# Page 469. Relative prices (index, 1860 = 100).
#
# number_of_price_series is Mitchell's "Number of Price Series" column: how many
# underlying series the relative price averages over. The averages at the foot of the
# table print ".." there, recorded as blank.
#
# Blank cells are printed as "...." in the source. Note that the wholesale and retail
# rows for a pair are not always the same commodity: Mitchell compares Sugar: Havana
# brown at wholesale with Sugar: good brown at retail, and similarly for mackerel and
# for three of the pork series. The item names are kept exactly as printed.
#
# Re-transcribed 17 September 2026 from the page image, replacing a version that was
# wrong from the first row and whose number_of_price_series column was shifted by one
# row. See FINDINGS_TRANSCRIPTION.md.
#
# DERIVED from ../mitchell_appendix_b_table5_wholesale_vs_retail.csv by analysis/03_build_tidy.py. Do not edit.
commodity,channel,number_of_price_series,year,relative_price
"Sheetings: brown, 4-4, Atlantic A.",wholesale,1,1860,100
"Sheetings: brown, 4-4, Atlantic A.",wholesale,1,1861,109
"Sheetings: brown, 4-4, Atlantic A.",wholesale,1,1862,199
"Sheetings: brown, 4-4, Atlantic A.",wholesale,1,1863,407
"Sheetings: brown, 4-4, Atlantic A.",wholesale,1,1864,610
"Sheetings: brown, 4-4, Atlantic A.",wholesale,1,1865,480
"Sheetings: brown, 4-4, Atlantic A.",wholesale,1,1866,299
"Sheetings: brown, 4-4, Atlantic A.",retail,11,1860,100
"Sheetings: brown, 4-4, Atlantic A.",retail,11,1861,135
"Sheetings: brown, 4-4, Atlantic A.",retail,11,1862,233
"Sheetings: brown, 4-4, Atlantic A.",retail,11,1863,352
"Sheetings: brown, 4-4, Atlantic A.",retail,11,1864,469
"Sheetings: brown, 4-4, Atlantic A.",retail,11,1865,405
"Sheetings: brown, 4-4, Atlantic A.",retail,11,1866,328
"Shirtings: bleached, 4-4, N.Y. Mills",wholesale,1,1860,100
"Shirtings: bleached, 4-4, N.Y. Mills",wholesale,1,1861,98
"Shirtings: bleached, 4-4, N.Y. Mills",wholesale,1,1862,131
"Shirtings: bleached, 4-4, N.Y. Mills",wholesale,1,1863,222
"Shirtings: bleached, 4-4, N.Y. Mills",wholesale,1,1864,331
"Shirtings: bleached, 4-4, N.Y. Mills",wholesale,1,1865,332
"Shirtings: bleached, 4-4, N.Y. Mills",wholesale,1,1866,302
"Shirtings: bleached, 4-4, N.Y. Mills",retail,13,1860,100
"Shirtings: bleached, 4-4, N.Y. Mills",retail,13,1861,123
"Shirtings: bleached, 4-4, N.Y. Mills",retail,13,1862,207
"Shirtings: bleached, 4-4, N.Y. Mills",retail,13,1863,335
"Shirtings: bleached, 4-4, N.Y. Mills",retail,13,1864,511
"Shirtings: bleached, 4-4, N.Y. Mills",retail,13,1865,447
"Shirtings: bleached, 4-4, N.Y. Mills",retail,13,1866,366
"Tickings: Amoskeag, A.C.A.",wholesale,1,1860,100
"Tickings: Amoskeag, A.C.A.",wholesale,1,1861,98
"Tickings: Amoskeag, A.C.A.",wholesale,1,1862,151
"Tickings: Amoskeag, A.C.A.",wholesale,1,1864,482
"Tickings: Amoskeag, A.C.A.",wholesale,1,1865,451
"Tickings: Amoskeag, A.C.A.",wholesale,1,1866,396
"Tickings: Amoskeag, A.C.A.",retail,12,1860,100
"Tickings: Amoskeag, A.C.A.",retail,12,1861,130
"Tickings: Amoskeag, A.C.A.",retail,12,1862,187
"Tickings: Amoskeag, A.C.A.",retail,12,1863,237
"Tickings: Amoskeag, A.C.A.",retail,12,1864,335
"Tickings: Amoskeag, A.C.A.",retail,12,1865,324
"Tickings: Amoskeag, A.C.A.",retail,12,1866,271
Flour: Rye,wholesale,1,1860,100
Flour: Rye,wholesale,1,1861,70
Flour: Rye,wholesale,1,1862,100
Flour: Rye,wholesale,1,1863,117
Flour: Rye,wholesale,1,1864,163
Flour: Rye,wholesale,1,1865,165
Flour: Rye,wholesale,1,1866,142
Flour: Rye,retail,8,1860,100
Flour: Rye,retail,8,1861,102
Flour: Rye,retail,8,1862,108
Flour: Rye,retail,8,1863,153
Flour: Rye,retail,8,1864,198
